condition,last_week,n_dropouts
CCC,1,73
CCC,2,16
CCC,3,22
CCC,4,21
CCC,5,24
ABC,1,74
ABC,2,25
ABC,3,19
ABC,4,19
ABC,5,15
ACC,1,78
ACC,2,23
ACC,3,29
ACC,4,22
ACC,5,18
BCC,1,81
BCC,2,29
BCC,3,28
BCC,4,26
BCC,5,23
