Predictor,B (SE),OR,95% CI,p
(Intercept),1.007 (0.155),2.737,"[2.034, 3.736]",< .001
conditionABC,0.01 (0.221),1.01,"[0.655, 1.558]",0.965
conditionACC,0.086 (0.218),1.09,"[0.711, 1.671]",0.693
conditionBCC,0.332 (0.223),1.394,"[0.901, 2.164]",0.136
