timestamp,app,timezone,isReIntervention,resolution,interventionType,interventionDuration,purpose
1750312941.153788,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750313211.31723,instagram,Europe/Berlin,False,closedApp,,,
1750316553.1424851,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Likes checken
1750317159.6518579,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750317188.5656781,instagram,Europe/Berlin,False,closedApp,,,
1750317820.410863,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750317858.02194,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750318176.680238,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Ablenkung
1750318485.7246718,instagram,Europe/Berlin,False,closedApp,,,
1750321720.48883,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Nachricht / Schreiben
1750321809.779135,instagram,Europe/Berlin,False,closedApp,,,
1750322006.09512,instagram,Europe/Berlin,False,closedApp,,,
1750336858.61374,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Langeweile
1750336926.8581991,instagram,Europe/Berlin,False,closedApp,,,
1750339404.256293,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Langeweile
1750339505.630969,instagram,Europe/Berlin,False,closedApp,,,
1750340241.417798,instagram,Europe/Berlin,False,closedApp,,,
1750340308.1458411,instagram,Europe/Berlin,False,closedApp,,,
1750340353.593145,instagram,Europe/Berlin,False,closedApp,,,
1750342463.098702,instagram,Europe/Berlin,False,closedApp,,,
1750342545.7660642,instagram,Europe/Berlin,False,closedApp,,,
1750353404.2606869,instagram,Europe/Berlin,False,closedApp,,,
1750355564.1830091,instagram,Europe/Berlin,False,closedApp,,,
1750355620.893633,instagram,Europe/Berlin,False,closedApp,,,
1750356293.938667,instagram,Europe/Berlin,False,closedApp,,,
1750356346.441422,instagram,Europe/Berlin,False,closedApp,,,
1750356385.219709,instagram,Europe/Berlin,False,closedApp,,,
1750356609.893784,instagram,Europe/Berlin,False,closedApp,,,
1750370390.119372,instagram,Europe/Berlin,False,dismissedAppOpening,journaling,,
1750370407.817706,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750370479.816711,instagram,Europe/Berlin,False,closedApp,,,
1750402363.686002,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750402423.1422548,instagram,Europe/Berlin,False,closedApp,,,
1750402567.835737,instagram,Europe/Berlin,False,closedApp,,,
1750409891.098456,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750403070.041583,instagram,Europe/Berlin,False,closedApp,,,
1750403542.48698,instagram,Europe/Berlin,False,closedApp,,,
1750403582.9622679,instagram,Europe/Berlin,False,closedApp,,,
1750403607.349358,instagram,Europe/Berlin,False,closedApp,,,
1750404301.427792,instagram,Europe/Berlin,False,closedApp,,,
1750404566.321929,instagram,Europe/Berlin,False,closedApp,,,
1750404963.044166,instagram,Europe/Berlin,False,closedApp,,,
1750405234.402436,instagram,Europe/Berlin,False,closedApp,,,
1750405853.201208,instagram,Europe/Berlin,False,closedApp,,,
1750406011.875935,instagram,Europe/Berlin,False,closedApp,,,
1750406385.324209,instagram,Europe/Berlin,False,closedApp,,,
1750406414.8225288,instagram,Europe/Berlin,False,closedApp,,,
1750406569.5006351,instagram,Europe/Berlin,False,closedApp,,,
1750406664.828599,instagram,Europe/Berlin,False,closedApp,,,
1750406693.597598,instagram,Europe/Berlin,False,closedApp,,,
1750406764.356534,instagram,Europe/Berlin,False,closedApp,,,
1750406842.566876,instagram,Europe/Berlin,False,closedApp,,,
1750406908.85727,instagram,Europe/Berlin,False,closedApp,,,
1750407714.6809602,instagram,Europe/Berlin,False,closedApp,,,
1750408844.153836,instagram,Europe/Berlin,False,closedApp,,,
