timestamp,timezone,app,interventionType,resolution,isReIntervention,interventionDuration
1749454395.5693269,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749454411.955865,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749456214.8072171,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749458535.443682,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749459449.480705,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749459532.139111,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749460015.602611,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749462212.406174,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749462259.832494,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749463217.348991,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749464175.561578,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749464849.535565,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749469423.756679,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749469604.04841,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749469912.7837949,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749481024.35881,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749485675.9897208,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749485829.8632588,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749490155.3600569,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749490278.9534879,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749490282.38909,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749490285.160595,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749490290.21298,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749500019.675544,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749533433.2762852,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749539946.931419,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749540219.0368629,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749540863.268879,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749540911.268043,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749543287.662716,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749543463.074469,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749546405.0996308,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749549450.282685,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749549766.069065,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749551634.235252,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749552988.036963,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749553680.648827,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749555631.4229422,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749556525.6664782,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749557932.9242392,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749559009.475008,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749565258.743674,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749583584.783618,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749619972.41777,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749621622.6337209,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749622052.004242,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749622533.566004,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749622731.624649,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749626056.1556191,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749629299.258541,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749629493.312468,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
1749630464.177228,Europe/Riga,instagram,breathingExercise,openedApp,False,6
1749630666.327055,Europe/Riga,instagram,breathingExercise,dismissedAppOpening,False,6
