interventionType,timestamp,timezone,isReIntervention,app,interventionDuration,resolution
breathingExercise,1751503238.9246511,America/Denver,False,instagram,6,openedApp
breathingExercise,1751503954.136949,America/Denver,False,instagram,6,openedApp
breathingExercise,1751504475.591347,America/Denver,False,instagram,6,openedApp
breathingExercise,1751506496.542293,America/Denver,False,instagram,6,openedApp
breathingExercise,1751506895.2856379,America/Denver,False,instagram,6,openedApp
breathingExercise,1751507047.699181,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751507202.8754802,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751507284.65995,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751507398.226443,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751509483.0626101,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751510127.412963,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751513242.766362,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751515235.8022099,America/Denver,False,instagram,6,openedApp
breathingExercise,1751518225.505056,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751518324.017218,America/Denver,False,instagram,6,openedApp
breathingExercise,1751522479.0855222,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751523406.7760658,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751525647.78212,America/Denver,False,instagram,6,openedApp
breathingExercise,1751526722.3061662,America/Denver,False,instagram,6,openedApp
breathingExercise,1751565020.3311958,America/Denver,False,instagram,6,openedApp
breathingExercise,1751567401.15443,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751567617.582802,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751567879.049031,America/Denver,False,instagram,6,openedApp
breathingExercise,1751570978.135248,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751571080.635816,America/Denver,False,instagram,6,openedApp
breathingExercise,1751582216.087747,America/Denver,False,instagram,6,openedApp
breathingExercise,1751582365.745564,America/Denver,False,instagram,6,openedApp
breathingExercise,1751582907.846492,America/Denver,False,instagram,6,openedApp
breathingExercise,1751587075.309173,America/Denver,False,instagram,6,openedApp
breathingExercise,1751587300.297093,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751587444.2211208,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751588803.274828,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751589716.319164,America/Denver,False,instagram,6,openedApp
breathingExercise,1751590803.846239,America/Denver,False,instagram,6,openedApp
breathingExercise,1751590989.376286,America/Denver,False,instagram,6,openedApp
breathingExercise,1751591185.632468,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751591742.008894,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751591836.411747,America/Denver,False,instagram,6,openedApp
breathingExercise,1751593929.741929,America/Denver,False,instagram,6,openedApp
breathingExercise,1751594077.7131681,America/Denver,False,instagram,6,openedApp
breathingExercise,1751594370.573725,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751594414.5713382,America/Denver,False,instagram,6,openedApp
breathingExercise,1751594495.539843,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751594761.937594,America/Denver,False,instagram,6,openedApp
breathingExercise,1751594893.3610291,America/Denver,False,instagram,6,openedApp
breathingExercise,1751594981.344283,America/Denver,False,instagram,6,openedApp
breathingExercise,1751599779.5353642,America/Denver,False,instagram,6,openedApp
breathingExercise,1751599880.625856,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751599949.614181,America/Denver,False,instagram,6,openedApp
breathingExercise,1751601082.614064,America/Denver,False,instagram,6,openedApp
breathingExercise,1751601114.641747,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751601422.3590221,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751602697.565349,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751602858.7360091,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751604056.454114,America/Denver,False,instagram,6,openedApp
breathingExercise,1751605312.4114041,America/Denver,False,instagram,6,openedApp
breathingExercise,1751605876.2189941,America/Denver,False,instagram,6,openedApp
breathingExercise,1751608508.6186419,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751613658.754829,America/Denver,False,instagram,6,openedApp
breathingExercise,1751645255.476131,America/Denver,False,instagram,6,openedApp
breathingExercise,1751645452.0738711,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751645466.8867722,America/Denver,False,instagram,6,openedApp
breathingExercise,1751645855.077302,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751649027.5567632,America/Denver,False,instagram,6,openedApp
breathingExercise,1751652970.252163,America/Denver,False,instagram,6,openedApp
breathingExercise,1751654864.8396401,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751655680.192246,America/Denver,False,instagram,6,openedApp
breathingExercise,1751658283.118393,America/Denver,False,instagram,6,openedApp
breathingExercise,1751658677.2630792,America/Denver,False,instagram,6,openedApp
breathingExercise,1751659111.508161,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751659165.960953,America/Denver,False,instagram,6,openedApp
breathingExercise,1751660185.926718,America/Denver,False,instagram,6,openedApp
breathingExercise,1751661185.4112868,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751664706.651003,America/Denver,False,instagram,6,openedApp
breathingExercise,1751664801.618034,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751664825.101804,America/Denver,False,instagram,6,openedApp
breathingExercise,1751664884.743382,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751664902.123436,America/Denver,False,instagram,6,openedApp
breathingExercise,1751665860.275323,America/Denver,False,instagram,6,dismissedAppOpening
breathingExercise,1751665986.498277,America/Denver,False,instagram,6,openedApp
breathingExercise,1751666566.345446,America/Denver,False,instagram,6,openedApp
breathingExercise,1751667690.352174,America/Denver,False,instagram,6,openedApp
