interventionType,timestamp,resolution,timezone,app,isReIntervention,interventionDuration,purpose
breathingExercise,1750335547.039413,dismissedAppOpening,Europe/Berlin,tikTok,False,6.0,
breathingExercise,1750335550.420759,dismissedAppOpening,Europe/Berlin,youtube,False,6.0,
breathingExercise,1750337211.673921,dismissedAppOpening,Europe/Berlin,tikTok,False,6.0,
breathingExercise,1750343277.312165,openedApp,Europe/Berlin,tikTok,False,6.0,Ablenkung
breathingExercise,1750365721.095192,openedApp,Europe/Berlin,youtube,False,6.0,Infos suchen
breathingExercise,1750369647.995319,openedApp,Europe/Berlin,youtube,False,6.0,Klo
breathingExercise,1750370804.074069,openedApp,Europe/Berlin,youtube,False,6.0,Auf dem Laufenden bleiben
breathingExercise,1750372923.818898,dismissedAppOpening,Europe/Berlin,youtube,False,6.0,
breathingExercise,1750407461.512978,openedApp,Europe/Berlin,tikTok,False,6.0,Unterhaltung
breathingExercise,1750427740.027001,openedApp,Europe/Berlin,youtube,False,6.0,Klo
breathingExercise,1750431028.96841,dismissedAppOpening,Europe/Berlin,youtube,False,6.0,
breathingExercise,1750431532.1008592,dismissedAppOpening,Europe/Berlin,youtube,False,6.0,
breathingExercise,1750432973.600401,openedApp,Europe/Berlin,tikTok,False,6.0,Klo
breathingExercise,1750434761.439692,openedApp,Europe/Berlin,youtube,False,6.0,Klo
breathingExercise,1750435498.827605,dismissedAppOpening,Europe/Berlin,youtube,False,6.0,
breathingExercise,1750435514.882451,openedApp,Europe/Berlin,tikTok,False,6.0,Klo
breathingExercise,1750441379.349189,openedApp,Europe/Berlin,tikTok,False,6.0,Klo
,1750441752.79806,closedApp,Europe/Berlin,tikTok,False,,
,1750445950.874814,closedApp,Europe/Berlin,tikTok,False,,
breathingExercise,1750446291.510285,openedApp,Europe/Berlin,youtube,False,6.0,Infos suchen
,1750446413.2956471,closedApp,Europe/Berlin,tikTok,False,,
,1750448389.253869,closedApp,Europe/Berlin,tikTok,False,,
,1750446412.9893231,closedApp,Europe/Berlin,youtube,False,,
breathingExercise,1750450787.057917,dismissedAppOpening,Europe/Berlin,youtube,False,6.0,
,1750450804.8038821,closedApp,Europe/Berlin,tikTok,False,,
,1750454121.549031,closedApp,Europe/Berlin,tikTok,False,,
,1750457179.089899,closedApp,Europe/Berlin,tikTok,False,,
,1750457344.0709128,closedApp,Europe/Berlin,tikTok,False,,
,1750459500.356348,closedApp,Europe/Berlin,tikTok,False,,
,1750459629.1546512,closedApp,Europe/Berlin,tikTok,False,,
,1750459747.633214,closedApp,Europe/Berlin,tikTok,False,,
,1750460168.4745579,closedApp,Europe/Berlin,tikTok,False,,
,1750460220.9544082,closedApp,Europe/Berlin,tikTok,False,,
breathingExercise,1750469014.166934,openedApp,Europe/Berlin,youtube,False,6.0,Crush stalken
,1750470977.318533,closedApp,Europe/Berlin,youtube,False,,
,1750471005.094036,closedApp,Europe/Berlin,youtube,False,,
breathingExercise,1750506884.999923,openedApp,Europe/Berlin,youtube,False,6.0,Entspannung
,1750520162.886514,closedApp,Europe/Berlin,tikTok,False,,
,1750523390.633613,closedApp,Europe/Berlin,tikTok,False,,
,1750523690.2974582,closedApp,Europe/Berlin,tikTok,False,,
,1750524090.9246821,closedApp,Europe/Berlin,tikTok,False,,
,1750527869.770914,closedApp,Europe/Berlin,tikTok,False,,
,1750528107.061562,closedApp,Europe/Berlin,tikTok,False,,
,1750528808.8443651,closedApp,Europe/Berlin,tikTok,False,,
,1750529045.860924,closedApp,Europe/Berlin,tikTok,False,,
,1750530785.670069,closedApp,Europe/Berlin,tikTok,False,,
,1750508030.360567,closedApp,Europe/Berlin,youtube,False,,
,1750530799.216333,closedApp,Europe/Berlin,tikTok,False,,
,1750538872.6133761,closedApp,Europe/Berlin,tikTok,False,,
,1750539347.120707,closedApp,Europe/Berlin,tikTok,False,,
,1750543768.900835,closedApp,Europe/Berlin,tikTok,False,,
breathingExercise,1750543777.621739,dismissedAppOpening,Europe/Berlin,youtube,False,6.0,
,1750543872.7314,closedApp,Europe/Berlin,tikTok,False,,
breathingExercise,1750588395.23358,openedApp,Europe/Berlin,tikTok,False,6.0,Unterhaltung
,1750593203.566293,closedApp,Europe/Berlin,tikTok,False,,
,1750593630.846807,closedApp,Europe/Berlin,tikTok,False,,
breathingExercise,1750593970.963179,openedApp,Europe/Berlin,tikTok,False,6.0,Klo
,1750594657.005661,closedApp,Europe/Berlin,tikTok,False,,
,1750595415.052895,closedApp,Europe/Berlin,tikTok,False,,
breathingExercise,1750595744.472906,dismissedAppOpening,Europe/Berlin,youtube,False,6.0,
breathingExercise,1750595760.566613,openedApp,Europe/Berlin,tikTok,False,6.0,Klo
,1750595873.0937881,closedApp,Europe/Berlin,tikTok,False,,
breathingExercise,1750598251.230623,openedApp,Europe/Berlin,tikTok,False,6.0,Ablenkung
,1750598561.440123,closedApp,Europe/Berlin,tikTok,False,,
,1750601243.777967,closedApp,Europe/Berlin,tikTok,False,,
breathingExercise,1750603359.322729,openedApp,Europe/Berlin,youtube,False,6.0,Infos suchen
,1750604069.548357,closedApp,Europe/Berlin,youtube,False,,
,1750606416.042335,closedApp,Europe/Berlin,youtube,False,,
,1750606830.2382889,closedApp,Europe/Berlin,youtube,False,,
,1750607149.935007,closedApp,Europe/Berlin,youtube,False,,
,1750607559.880647,closedApp,Europe/Berlin,youtube,False,,
breathingExercise,1750607575.5167289,openedApp,Europe/Berlin,tikTok,False,6.0,Entspannung
,1750608118.8783278,closedApp,Europe/Berlin,tikTok,False,,
,1750608351.746861,closedApp,Europe/Berlin,tikTok,False,,
,1750608841.8120651,closedApp,Europe/Berlin,tikTok,False,,
,1750609467.237311,closedApp,Europe/Berlin,tikTok,False,,
,1750610405.519463,closedApp,Europe/Berlin,tikTok,False,,
,1750610692.95583,closedApp,Europe/Berlin,tikTok,False,,
,1750610764.680883,closedApp,Europe/Berlin,tikTok,False,,
,1750610932.9280581,closedApp,Europe/Berlin,tikTok,False,,
,1750611645.343071,closedApp,Europe/Berlin,tikTok,False,,
breathingExercise,1750611660.800713,openedApp,Europe/Berlin,youtube,False,6.0,Etwas posten
,1750613471.32816,closedApp,Europe/Berlin,youtube,False,,
breathingExercise,1750613488.759202,openedApp,Europe/Berlin,tikTok,False,6.0,Unterhaltung
,1750614266.226869,closedApp,Europe/Berlin,tikTok,False,,
,1750614328.924149,closedApp,Europe/Berlin,tikTok,False,,
,1750617688.487154,closedApp,Europe/Berlin,tikTok,False,,
,1750618664.4597511,closedApp,Europe/Berlin,tikTok,False,,
breathingExercise,1750619505.923081,openedApp,Europe/Berlin,tikTok,False,6.0,Unterhaltung
,1750624629.092365,closedApp,Europe/Berlin,tikTok,False,,
,1750625568.6321921,closedApp,Europe/Berlin,tikTok,False,,
,1750627462.493216,closedApp,Europe/Berlin,tikTok,False,,
,1750630583.961685,closedApp,Europe/Berlin,tikTok,False,,
,1750630709.9365811,closedApp,Europe/Berlin,tikTok,False,,
breathingExercise,1750633780.5278869,dismissedAppOpening,Europe/Berlin,tikTok,False,6.0,
breathingExercise,1750633786.486306,dismissedAppOpening,Europe/Berlin,tikTok,False,6.0,
breathingExercise,1750661936.129037,dismissedAppOpening,Europe/Berlin,tikTok,False,6.0,
breathingExercise,1750661956.2088299,openedApp,Europe/Berlin,tikTok,False,6.0,Ablenkung
