resolution,timezone,interventionDuration,timestamp,isReIntervention,app,interventionType,terminationReason
dismissedAppOpening,America/Los_Angeles,6.0,1749142607.988677,0.0,instagram,breathingExercise,
,,,1749142708.9699569,,,,terminatedByUser
