app,interventionDuration,interventionType,timezone,timestamp,resolution,isReIntervention,timeIntervalUntilReIntervention
tikTok,6,breathingExercise,Asia/Manila,1750417485.626014,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750424173.351707,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750426045.214215,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750430400.0035071,openedApp,False,120.0
tikTok,6,breathingExercise,Asia/Manila,1750430545.600316,openedApp,True,
tikTok,6,breathingExercise,Asia/Manila,1750471866.4747071,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750472998.703084,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750473050.117958,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750474466.410684,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750474490.2797189,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750482122.505793,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750482289.775931,openedApp,False,420.0
tikTok,6,breathingExercise,Asia/Manila,1750487331.037139,openedApp,False,60.0
tikTok,6,breathingExercise,Asia/Manila,1750487634.086618,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750487637.629142,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750499799.567879,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750506093.7392468,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750506881.212768,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750506900.1381211,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750507203.7954779,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750508202.361804,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750508905.94034,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750508979.371715,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750564603.103523,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750565199.7679071,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750566064.208201,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750566673.049329,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750566790.5385342,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750570601.562453,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750571262.40441,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750572264.292399,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750572296.963948,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750574126.401418,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750575264.757945,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750589754.37603,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750589926.787404,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750589942.109499,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750589972.950369,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750590032.350858,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750590038.4627938,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750590043.4566731,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750590061.812124,openedApp,False,
