app,timestamp,resolution,isReIntervention,timezone,interventionDuration,interventionType
tikTok,1751614604.597313,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751619411.12258,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751620281.903023,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751631721.580231,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751631777.092854,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751633979.120405,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751634530.25751,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751634727.413072,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751635737.752639,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751637002.4508271,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751642842.973456,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
instagram,1751643422.742988,closedApp,False,Europe/Oslo,,
instagram,1751643567.6149712,closedApp,False,Europe/Oslo,,
tikTok,1751651843.0205688,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751656210.922103,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751662868.09445,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751672310.759204,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751672673.872338,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751672839.2328792,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751673687.087995,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751674411.0822148,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751697154.311407,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751698330.58163,openedApp,False,Europe/Oslo,6.0,breathingExercise
instagram,1751675027.813489,closedApp,False,Europe/Oslo,,
tikTok,1751698825.412602,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751699750.0486,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751702733.551402,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751730175.643964,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751730678.2289639,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751730877.717293,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751731388.490854,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751736536.509053,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751737190.717092,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751737905.749978,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751737957.555955,openedApp,False,Europe/Oslo,6.0,breathingExercise
instagram,1751738226.079862,closedApp,False,Europe/Oslo,,
instagram,1751738597.6915169,closedApp,False,Europe/Oslo,,
instagram,1751738611.640132,closedApp,False,Europe/Oslo,,
instagram,1751738670.563525,closedApp,False,Europe/Oslo,,
instagram,1751738770.545049,closedApp,False,Europe/Oslo,,
tikTok,1751740942.056912,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
instagram,1751740977.6615338,closedApp,False,Europe/Oslo,,
instagram,1751741465.562926,closedApp,False,Europe/Oslo,,
instagram,1751743343.170095,closedApp,False,Europe/Oslo,,
tikTok,1751744092.356705,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751782477.909914,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751796082.302298,openedApp,False,Europe/Oslo,6.0,breathingExercise
instagram,1751788603.838095,closedApp,False,Europe/Oslo,,
tikTok,1751796139.8613238,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751796190.643883,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751796220.411088,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751796235.577946,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751796241.68533,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751796394.8514009,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751796422.129799,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751796542.1848311,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751796673.356508,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751796865.975153,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751801069.9389591,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751801985.9116921,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751805665.704948,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751806198.967912,openedApp,False,Europe/Oslo,6.0,breathingExercise
instagram,1751809473.2475228,closedApp,False,Europe/Oslo,,
instagram,1751811064.936245,closedApp,False,Europe/Oslo,,
instagram,1751811356.816529,closedApp,False,Europe/Oslo,,
tikTok,1751813736.484756,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751813805.330257,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751815317.557334,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751815322.234744,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751815418.8391008,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751818134.133471,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751820607.205875,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751821017.818585,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751821232.9996362,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751821820.40242,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751823943.9594321,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751834549.089678,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751834900.45367,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751834960.708611,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751835469.9578528,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751838801.190201,dismissedAppOpening,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751884777.930129,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751884991.936997,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751885725.570029,openedApp,False,Europe/Oslo,6.0,breathingExercise
tikTok,1751886761.794821,openedApp,False,Europe/Oslo,6.0,breathingExercise
instagram,1751888620.066928,closedApp,False,Europe/Oslo,,
instagram,1751889010.116687,closedApp,False,Europe/Oslo,,
tikTok,1751889367.869806,openedApp,False,Europe/Oslo,6.0,breathingExercise
