app,timezone,isReIntervention,resolution,interventionDuration,timestamp,interventionType,purpose
facebook,Europe/Copenhagen,False,openedApp,6,1751819739.979007,breathingExercise,Find information
youtube,Europe/Copenhagen,False,openedApp,6,1751821377.659158,breathingExercise,Underholdning
instagram,Europe/Copenhagen,False,dismissedAppOpening,6,1751833340.618936,breathingExercise,
facebook,Europe/Copenhagen,False,openedApp,6,1751838441.234023,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1751839472.8628001,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1751839522.4848518,breathingExercise,Undslippe / Undgå
youtube,Europe/Copenhagen,False,openedApp,6,1751840545.977637,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1751863877.414531,breathingExercise,Find information
facebook,Europe/Copenhagen,False,openedApp,6,1751868162.6615992,breathingExercise,Hold dig opdateret
facebook,Europe/Copenhagen,False,openedApp,6,1751896560.308549,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1751898414.62498,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,openedApp,6,1751898663.9793139,breathingExercise,Find information
instagram,Europe/Copenhagen,False,openedApp,6,1751899035.920354,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1751906851.212829,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,openedApp,6,1751912700.627661,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,openedApp,6,1751917599.9430928,breathingExercise,Hold dig opdateret
youtube,Europe/Copenhagen,False,openedApp,6,1751921528.479632,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1751922848.220241,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1751923135.005735,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1751923921.117368,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1751957485.883323,breathingExercise,Lave et opslag
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1751959185.792228,breathingExercise,
facebook,Europe/Copenhagen,False,openedApp,6,1751999427.322009,breathingExercise,Find information
instagram,Europe/Copenhagen,False,openedApp,6,1751999874.4124599,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1752007518.964704,breathingExercise,Underholdning
youtube,Europe/Copenhagen,False,openedApp,6,1752008480.718714,breathingExercise,Underholdning
facebook,Europe/Copenhagen,False,openedApp,6,1752085378.903074,breathingExercise,Hold dig opdateret
facebook,Europe/Copenhagen,False,dismissedAppOpening,6,1752087275.263039,breathingExercise,
