interventionType,timestamp,isReIntervention,interventionDuration,timezone,app,resolution
breathingExercise,1753004392.435306,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753004444.647067,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753004486.2437649,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753004666.904675,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753004788.9198542,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753005641.417052,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753006667.538753,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753008046.069759,False,6,Europe/Berlin,instagram,openedApp
breathingExercise,1753008164.646144,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753014298.480288,False,6,Europe/Berlin,instagram,openedApp
breathingExercise,1753014432.447614,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753014444.462572,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753014512.7657762,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753014531.2500849,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753014734.230465,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753015023.6110559,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753016633.656824,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753016842.662345,False,6,Europe/Berlin,instagram,openedApp
breathingExercise,1753016928.732384,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753017027.686224,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753017084.354193,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753017098.914227,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753017129.744228,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753017201.484064,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753017357.6379042,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753017395.65343,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753019301.497458,False,6,Europe/Berlin,instagram,openedApp
breathingExercise,1753019783.207489,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753019844.375169,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753019854.3255692,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753019879.44941,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753019911.623616,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753019959.024683,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753020090.852759,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753020109.0465221,False,6,Europe/Berlin,instagram,openedApp
breathingExercise,1753020422.4614,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753020558.05797,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753022134.039058,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753022199.352631,False,6,Europe/Berlin,instagram,openedApp
breathingExercise,1753022263.971592,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753022308.694453,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753022337.548461,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753023900.0682812,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753032483.410589,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753036947.624989,False,6,Europe/Berlin,instagram,openedApp
breathingExercise,1753042539.446412,False,6,Europe/Berlin,instagram,openedApp
breathingExercise,1753042716.89638,False,6,Europe/Berlin,instagram,openedApp
breathingExercise,1753048388.121959,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753048981.026191,False,6,Europe/Berlin,instagram,openedApp
breathingExercise,1753049248.326202,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753049710.2405128,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753051737.7507892,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753051763.3232532,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753076217.100253,False,6,Europe/Berlin,instagram,dismissedAppOpening
breathingExercise,1753076457.353986,False,6,Europe/Berlin,instagram,dismissedAppOpening
