interventionDuration,isReIntervention,timezone,app,interventionType,resolution,timestamp,purpose
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749821195.872833,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749856320.6271,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749856341.7919002,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749856560.1991081,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749875940.633647,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749877630.339297,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749885210.8207011,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749886104.8944411,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749890384.7032208,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749894546.885427,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749899670.530045,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749903243.23611,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749918649.038796,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749918772.2759728,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749918787.415084,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749918806.419565,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749918809.250787,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749918812.5281348,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749918815.124179,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749918817.669598,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749918820.096788,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749918825.122579,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749918827.982092,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749918830.253426,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749918834.845006,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749918837.632578,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749918840.193593,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749918842.0971909,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749918846.422293,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749918859.992984,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749918896.918148,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749918903.929274,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749918915.451307,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749948081.843999,放松
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749948198.1692739,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749948221.515404,放松
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1749952697.208142,放松
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1749952869.211012,消息
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1749953017.426228,逃跑/避开
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749953995.104752,娱乐
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1749960239.892555,放松
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1749962349.845839,消息
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749963062.748841,跟踪暗恋对象
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749965089.447727,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749965103.24607,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749965842.855645,发布一些内容
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749966648.1517138,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749966705.352509,
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1749967191.999776,搜索信息
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1749967395.81637,搜索信息
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749967540.8274832,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749969102.45919,检查点赞
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1749969495.367805,
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1749970446.7636352,搜索信息
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1749974321.313798,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749974358.5848,无所事事
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749974411.552479,无所事事
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749981351.4154968,逃跑/避开
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749986633.612208,逃跑/避开
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1749987410.811832,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749991204.3469949,失眠
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1749994564.808888,消息
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750000084.0098581,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750045468.325345,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750045495.531918,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750048495.893887,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750048574.467871,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750051001.314324,放松
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750051908.675313,放松
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1750065406.706522,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750065465.278253,卫生间
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750067815.864056,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750069246.9044142,发布一些内容
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750072842.036518,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750079835.678681,搜索信息
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750082787.026799,卫生间
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750084870.270535,留在循环中
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750117128.637137,搜索信息
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750123259.317549,失眠
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750123305.378391,卫生间
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750124807.649678,消息
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750127577.457339,搜索信息
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750127950.583386,留在循环中
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1750128074.45909,
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750128279.542417,留在循环中
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750132676.997946,搜索信息
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750132881.3169851,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750132935.9705281,搜索信息
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750133698.258494,无所事事
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750136630.466851,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750146770.111515,留在循环中
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750147103.055969,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750147291.8300219,留在循环中
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750147846.166905,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750148862.216689,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750148979.748903,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750162737.822812,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750163465.337482,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750163648.175401,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750163860.034589,留在循环中
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750164261.547947,搜索信息
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750164467.1387792,搜索信息
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750166052.516354,搜索信息
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750172854.72212,搜索信息
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750174003.601526,搜索信息
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750175411.4934878,搜索信息
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750176252.950609,留在循环中
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750176361.1563768,放松
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750205488.693466,搜索信息
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750205994.035713,搜索信息
