timezone,purpose,interventionType,app,timestamp,isReIntervention,resolution,interventionDuration
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753021511.2701368,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753022526.281602,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753023799.284718,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753028764.311082,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753040772.600568,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753041237.432397,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753041258.879974,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753042602.107152,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753043840.332933,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753045050.231252,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753083556.388387,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753098996.12294,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753102795.3950958,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753106198.395218,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753108356.051348,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753110161.325525,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753116295.460043,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753116748.940168,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753118646.972858,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753118665.509815,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753126014.197116,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753129923.8464441,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1753130014.0945191,False,dismissedAppOpening,6
Europe/London,Escape / Avoid,breathingExercise,tikTok,1753130035.46682,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753131086.2321482,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753131149.954136,False,dismissedAppOpening,6
Europe/London,,breathingExercise,instagram,1753131655.134867,False,dismissedAppOpening,6
Europe/London,Escape / Avoid,breathingExercise,instagram,1753176796.978256,False,openedApp,6
Europe/London,Escape / Avoid,breathingExercise,instagram,1753179846.988408,False,openedApp,6
Europe/London,,breathingExercise,facebook,1753180709.2061682,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753183699.192245,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753187598.892077,False,openedApp,6
Europe/London,Escape / Avoid,breathingExercise,instagram,1753191269.731787,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753196161.88159,False,openedApp,6
Europe/London,,breathingExercise,facebook,1753199547.041173,False,dismissedAppOpening,6
Europe/London,Escape / Avoid,breathingExercise,facebook,1753200901.7030659,False,openedApp,6
Europe/London,,breathingExercise,facebook,1753201884.150008,False,dismissedAppOpening,6
Europe/London,Escape / Avoid,breathingExercise,instagram,1753202367.1913738,False,openedApp,6
Europe/London,,breathingExercise,facebook,1753206417.5120192,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753206849.926733,False,openedApp,6
Europe/London,Escape / Avoid,breathingExercise,tikTok,1753222154.907796,False,openedApp,6
Europe/London,Escape / Avoid,breathingExercise,tikTok,1753222517.511298,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1753223267.893808,False,dismissedAppOpening,6
Europe/London,Escape / Avoid,breathingExercise,facebook,1753260454.7847018,False,openedApp,6
Europe/London,Escape / Avoid,breathingExercise,instagram,1753268317.48742,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753277545.280302,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753278159.7823381,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753278904.281676,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753280657.740882,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753291661.2173,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753293420.494802,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753298021.247006,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753298056.025937,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753308234.398463,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753343603.4727988,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753347756.6129751,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753348150.166661,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753348771.075362,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753349983.505341,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753354397.3453531,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753358409.27142,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753361551.379376,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753374649.12293,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753387977.2418408,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753390365.0094419,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753390631.734813,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753393661.7010121,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753394467.971519,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753395420.690164,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753427001.597396,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753438448.129675,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753439535.7540421,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753441235.505217,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753443183.282804,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753443215.5716848,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753443278.303833,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753445966.6215491,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753453841.406897,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753454960.206332,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753461048.618988,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753478990.707883,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753487350.449153,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753487369.470232,False,openedApp,6
Europe/London,Toilet,breathingExercise,tikTok,1753488171.157619,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753489690.2540069,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753518621.5945,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753523223.2772121,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753524614.821419,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753530895.7064881,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753538738.875448,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753572738.4336982,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753576969.996649,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753580934.383389,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753582281.134643,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753582508.055152,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753608188.962635,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753608486.270488,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753612004.1435761,False,openedApp,6
Europe/London,,breathingExercise,facebook,1753612606.287269,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753612634.311924,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753616922.996165,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1753618228.999799,False,dismissedAppOpening,6
Europe/London,Bored,breathingExercise,instagram,1753618718.546393,False,openedApp,6
Europe/London,Entertainment,breathingExercise,instagram,1753619650.166573,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753622716.337264,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753623129.825231,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753626392.92515,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753642621.336504,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753648489.2261229,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753686882.967177,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753706190.092649,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753706539.854177,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753718255.105206,False,openedApp,6
Europe/London,Toilet,breathingExercise,tikTok,1753718610.368198,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1753719010.575769,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753720468.0725389,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753721926.103163,False,openedApp,6
Europe/London,Search Info,breathingExercise,facebook,1753738790.180599,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753740602.778225,False,openedApp,6
Europe/London,Search Info,breathingExercise,instagram,1753744170.46564,False,openedApp,6
Europe/London,Search Info,breathingExercise,facebook,1753744225.2371302,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1753744254.781509,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753773913.9756799,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753784850.86487,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753786560.9798388,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753789171.949924,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753789190.557147,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753790331.458239,False,dismissedAppOpening,6
Europe/London,Entertainment,breathingExercise,instagram,1753790347.716735,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753790734.55521,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753793178.2286549,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753808549.187787,False,dismissedAppOpening,6
Europe/London,Toilet,breathingExercise,tikTok,1753808609.5763268,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753823415.532567,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753826741.164682,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753828350.766635,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753828979.509752,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753835862.1218119,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753836405.303018,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1753836749.6652331,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753861631.396093,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753862898.907681,False,openedApp,6
Europe/London,,breathingExercise,facebook,1753884002.17944,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753895224.36348,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753896540.558919,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753912145.553894,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753912933.623693,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753943857.543538,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753944191.660183,False,openedApp,6
Europe/London,Escape / Avoid,breathingExercise,tikTok,1753946364.3738441,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753950960.1316,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753951135.542381,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753952970.578825,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753955496.37505,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753955612.2457042,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1753958513.237465,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753961688.524539,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753973041.234795,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753976607.993073,False,openedApp,6
Europe/London,Bored,breathingExercise,tikTok,1753981871.9155412,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753989525.5205069,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753994868.6636229,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753995160.473908,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754037310.1622272,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1754039069.807675,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754039924.371992,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1754063963.657659,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754076307.2348819,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754078977.95407,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754082050.0660229,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754082152.825146,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754086012.3622708,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1754116508.225833,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754146669.01458,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1754147315.59445,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1754149862.225806,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754157581.9503121,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754159006.9647288,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754159327.8881931,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754159701.235033,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754167553.115794,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754168757.467519,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1754169930.60389,False,openedApp,6
Europe/London,Escape / Avoid,breathingExercise,instagram,1754171043.318475,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754171821.2914019,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1754172337.906581,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754172714.702085,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1754205507.653456,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1754208404.443032,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754208422.196888,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754218288.8984761,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754220617.780143,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1754229683.757979,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754229728.040563,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1754230186.5764852,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754230214.7343879,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754230728.061613,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1754237087.376549,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754237111.333226,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1754240349.955518,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754240395.8347402,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754241439.183773,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754242844.631548,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754242992.363843,False,openedApp,6
Europe/London,Escape / Avoid,breathingExercise,facebook,1754244962.5404081,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754255334.0333,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754255424.869859,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754259198.1136432,False,openedApp,6
Europe/London,Relax,breathingExercise,tikTok,1754259615.627706,False,openedApp,6
Europe/London,,breathingExercise,facebook,1754291393.360522,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754291411.662684,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754312520.9715018,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1754312792.77695,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754321498.1130018,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754323124.128364,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754325300.4477758,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754326516.4013019,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754328822.147382,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1754333308.778712,False,openedApp,6
Europe/London,Search Info,breathingExercise,instagram,1754333359.890099,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1754334680.455378,False,dismissedAppOpening,6
Europe/London,,breathingExercise,tikTok,1754334685.793905,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754334706.717988,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754338895.0314388,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754339325.165,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1754340387.746506,False,openedApp,6
Europe/London,Relax,breathingExercise,tikTok,1754343085.180938,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1754372860.197191,False,openedApp,6
