resolution,timestamp,interventionType,app,interventionDuration,timezone,isReIntervention
dismissedAppOpening,1753024146.350456,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753024182.925564,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753037456.5786781,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753039074.544791,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753047116.937086,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753048141.728807,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753050493.150796,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753051241.7211251,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753051808.1868591,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753054870.4063358,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753057349.70242,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753058069.7293348,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753060590.727079,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753062268.256709,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753063861.453549,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753063906.250231,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753066427.891506,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753073619.7776399,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753079937.985793,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753097690.3361192,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753100520.358924,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753105522.732995,breathingExercise,tikTok,6,America/Mexico_City,False
dismissedAppOpening,1753105779.818451,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753108229.865748,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753109414.9731069,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753118946.390897,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753123518.409327,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753127601.833559,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753128133.4936318,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753128377.7805,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753128546.329745,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753129438.903969,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753135217.9036388,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753137760.783236,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753138710.384634,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753149143.528071,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753156307.226537,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753157238.674117,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753159138.9874249,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753159358.732883,breathingExercise,youtube,6,America/Mexico_City,False
dismissedAppOpening,1753160160.407198,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753160698.8579612,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753160845.614289,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753161068.060861,breathingExercise,youtube,6,America/Mexico_City,False
dismissedAppOpening,1753161391.321924,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753161532.2036738,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753161594.404317,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753165783.743936,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753165911.9598079,breathingExercise,youtube,6,America/Mexico_City,False
dismissedAppOpening,1753166648.818983,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753166653.557055,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753166655.883291,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753166658.141372,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753166660.811946,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753185671.505724,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753189900.191753,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753190142.155,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753190578.348164,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753192046.5475101,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753195307.4102879,breathingExercise,youtube,6,America/Mexico_City,False
