timezone,interventionDuration,isReIntervention,app,interventionType,resolution,timestamp
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749001678.244897
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749004016.574016
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749030280.179182
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749030537.2602448
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749046978.612293
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749050311.0281692
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749053220.4438381
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749053262.247038
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749054068.050468
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749054072.8573198
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749054249.920188
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749055011.39098
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749055206.167457
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749055359.1986609
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749056188.389758
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749057932.8783069
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749058896.3508291
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749061029.74573
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749061245.443702
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749085164.888705
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749087351.4271212
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749088254.572349
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749117910.9806628
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749138480.462759
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749139471.630089
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749139510.542501
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749139856.203466
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749140138.934212
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749140145.262082
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749140158.7822452
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749140432.953409
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749140904.439321
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749150895.75708
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749152704.8822122
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749153289.642115
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749157430.014097
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749157735.6374989
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749173549.048569
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749173768.180115
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749174540.852954
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749174959.868341
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749175011.370059
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749176995.213685
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749204774.747342
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749206111.7023702
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749225287.312803
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749230006.218482
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749230686.3431978
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749231713.146096
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749252802.9979448
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749252889.101155
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,dismissedAppOpening,1749253824.949754
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749253841.514641
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749253926.9176831
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749254000.5463948
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749254520.8419309
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749254965.926052
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749255125.854655
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749256264.808186
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749257995.698038
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749259473.458859
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749260607.699096
America/Argentina/Cordoba,6,False,tikTok,breathingExercise,openedApp,1749261429.2711549
