resolution,interventionDuration,timestamp,isReIntervention,interventionType,app,timezone,purpose,timeIntervalUntilReIntervention
openedApp,6.0,1753821862.738323,False,breathingExercise,instagram,Europe/Kiev,апол,900.0
dismissedAppOpening,6.0,1753823316.412222,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1753824389.918587,False,breathingExercise,instagram,Europe/Kiev,прлти,900.0
openedApp,6.0,1753855667.582384,False,breathingExercise,youtube,Europe/Kiev,вовлчл,
dismissedAppOpening,6.0,1753856637.1471748,False,breathingExercise,youtube,Europe/Kiev,,
openedApp,6.0,1753857979.183996,False,breathingExercise,instagram,Europe/Kiev,еолдд,900.0
dismissedAppOpening,6.0,1753858051.4410539,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1753858090.378228,False,breathingExercise,instagram,Europe/Kiev,врочлчлч,900.0
openedApp,6.0,1753864988.6993918,False,breathingExercise,instagram,Europe/Kiev,вгщащч,900.0
dismissedAppOpening,6.0,1753865324.809548,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1753871384.06885,False,breathingExercise,instagram,Europe/Kiev,ghjj,900.0
openedApp,6.0,1753873297.280995,False,breathingExercise,instagram,Europe/Kiev,полл,900.0
openedApp,6.0,1753891237.4990811,False,breathingExercise,instagram,Europe/Kiev,овдвдч,900.0
openedApp,6.0,1753898512.899115,False,breathingExercise,instagram,Europe/Kiev,ddf,900.0
openedApp,6.0,1753941754.520804,False,breathingExercise,instagram,Europe/Kiev,прол,900.0
openedApp,6.0,1753942136.243514,False,breathingExercise,instagram,Europe/Kiev,нодд,900.0
dismissedAppOpening,6.0,1753954099.546052,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1753954128.1138391,False,breathingExercise,instagram,Europe/Kiev,волчля,900.0
dismissedAppOpening,6.0,1753978721.6918468,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1753978762.458088,False,breathingExercise,instagram,Europe/Kiev,прддл,900.0
openedApp,6.0,1753979017.2124782,False,breathingExercise,instagram,Europe/Kiev,кнлл,900.0
dismissedAppOpening,6.0,1753979266.7629209,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1753979310.930348,False,breathingExercise,instagram,Europe/Kiev,аааа,900.0
openedApp,6.0,1753980697.035069,False,breathingExercise,instagram,Europe/Kiev,осочдч,900.0
openedApp,6.0,1753982282.930337,False,breathingExercise,instagram,Europe/Kiev,рчтал,900.0
openedApp,6.0,1753982611.430461,False,breathingExercise,instagram,Europe/Kiev,нвгіші,900.0
openedApp,6.0,1753984694.439477,False,breathingExercise,instagram,Europe/Kiev,ррдд,900.0
openedApp,6.0,1753985667.293126,False,breathingExercise,instagram,Europe/Kiev,спод,900.0
openedApp,6.0,1753986663.197249,False,breathingExercise,instagram,Europe/Kiev,сладвд,420.0
openedApp,6.0,1753992168.128047,False,breathingExercise,instagram,Europe/Kiev,dryiu,900.0
openedApp,6.0,1753996829.089124,False,breathingExercise,instagram,Europe/Kiev,chxhz,900.0
openedApp,6.0,1754051949.727305,False,breathingExercise,instagram,Europe/Kiev,врвочд,900.0
dismissedAppOpening,6.0,1754052317.76264,False,breathingExercise,instagram,Europe/Kiev,,
dismissedAppOpening,6.0,1754052322.3706121,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1754052388.5158281,False,breathingExercise,instagram,Europe/Kiev,eryiii,900.0
openedApp,6.0,1754077475.355245,False,breathingExercise,instagram,Europe/Kiev,волілч,900.0
openedApp,6.0,1754112333.0265632,False,breathingExercise,instagram,Europe/Kiev,енвгвоц,900.0
dismissedAppOpening,6.0,1754131807.540968,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1754135535.134438,False,breathingExercise,youtube,Europe/Kiev,сосоч,
openedApp,6.0,1754137218.8176079,False,breathingExercise,youtube,Europe/Kiev,вовлал,
openedApp,6.0,1754183629.042417,False,breathingExercise,instagram,Europe/Kiev,апро,900.0
openedApp,6.0,1754202081.2786942,False,breathingExercise,youtube,Europe/Kiev,аллаша,2700.0
openedApp,6.0,1754202293.769559,False,breathingExercise,youtube,Europe/Kiev,прлл,2700.0
openedApp,6.0,1754235053.136173,False,breathingExercise,instagram,Europe/Kiev,ddt,900.0
