app,interventionType,timezone,resolution,timestamp,isReIntervention,interventionDuration,purpose
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749945309.451342,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,openedApp,1749945365.14171,False,6.0,Uttråkad
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749945494.547246,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749945650.7813601,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749945662.1093678,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749945665.7494931,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749945667.663639,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,openedApp,1749947829.584557,False,6.0,Uttråkad
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749952861.046741,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749952991.467058,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749952994.805903,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749983636.621896,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749983696.458475,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749984351.369843,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749984402.404005,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,openedApp,1749984421.985653,False,6.0,Uttråkad
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749985996.313555,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749985998.364198,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749986069.7252898,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749986073.073595,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749986086.085579,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749986434.929442,False,6.0,
tikTok,breathingExercise,Europe/Stockholm,dismissedAppOpening,1749986437.107411,False,6.0,
