interventionType,resolution,interventionDuration,timezone,isReIntervention,app,purpose,timestamp
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Trabalho ,1751036037.7600489
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Trabalho ,1751038967.210005
,openedApp,,America/Sao_Paulo,False,instagram,,1751039328.486054
,closedApp,,America/Sao_Paulo,False,instagram,,1751039388.486054
,dismissedAppOpening,,America/Sao_Paulo,False,instagram,,1751039388.486054
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Trabalho ,1751043975.6473188
breathingExercise,dismissedAppOpening,6.0,America/Sao_Paulo,False,instagram,,1751045435.83107
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Trabalho ,1751045460.473892
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Trabalho ,1751047303.031981
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Trabalho ,1751061356.099125
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Trabalho ,1751061694.030528
,openedApp,,America/Sao_Paulo,False,instagram,,1751067706.711802
,closedApp,,America/Sao_Paulo,False,instagram,,1751067766.711802
,dismissedAppOpening,,America/Sao_Paulo,False,instagram,,1751067766.711802
,openedApp,,America/Sao_Paulo,False,instagram,,1751076799.5926352
,closedApp,,America/Sao_Paulo,False,instagram,,1751076859.5926352
,dismissedAppOpening,,America/Sao_Paulo,False,instagram,,1751076859.5926352
,openedApp,,America/Sao_Paulo,False,instagram,,1751081675.602065
,closedApp,,America/Sao_Paulo,False,instagram,,1751081735.602066
,dismissedAppOpening,,America/Sao_Paulo,False,instagram,,1751081735.602066
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Trabalho ,1751111554.809504
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Trabalho ,1751115194.162195
,openedApp,,America/Sao_Paulo,False,instagram,,1751126937.950005
,closedApp,,America/Sao_Paulo,False,instagram,,1751126997.950005
,dismissedAppOpening,,America/Sao_Paulo,False,instagram,,1751126997.950005
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Pesquisar informações,1751136052.8942862
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Ficar por dentro,1751154957.843792
,openedApp,,America/Sao_Paulo,False,instagram,,1751162661.668356
,closedApp,,America/Sao_Paulo,False,instagram,,1751162721.668356
,dismissedAppOpening,,America/Sao_Paulo,False,instagram,,1751162721.668356
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Sanitário,1751197678.942442
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Ficar por dentro,1751198492.2695189
breathingExercise,dismissedAppOpening,6.0,America/Sao_Paulo,False,instagram,,1751202890.311909
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Distração,1751227497.566015
,openedApp,,America/Sao_Paulo,False,instagram,,1751256692.802944
,closedApp,,America/Sao_Paulo,False,instagram,,1751256752.802944
,dismissedAppOpening,,America/Sao_Paulo,False,instagram,,1751256752.802944
,openedApp,,America/Sao_Paulo,False,instagram,,1751256698.2154322
,closedApp,,America/Sao_Paulo,False,instagram,,1751256758.2154331
,dismissedAppOpening,,America/Sao_Paulo,False,instagram,,1751256758.2154331
,openedApp,,America/Sao_Paulo,False,instagram,,1751256709.248882
,closedApp,,America/Sao_Paulo,False,instagram,,1751256769.248883
,dismissedAppOpening,,America/Sao_Paulo,False,instagram,,1751256769.248883
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Mensagem,1751290590.771418
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Trabalho ,1751292840.568042
breathingExercise,openedApp,6.0,America/Sao_Paulo,False,instagram,Trabalho ,1751296099.7038422
