interventionDuration,isReIntervention,app,resolution,timezone,timestamp,interventionType,timeIntervalUntilReIntervention
6,False,instagram,dismissedAppOpening,Europe/Berlin,1750429859.921146,breathingExercise,
6,False,instagram,openedApp,Europe/Berlin,1750441715.4364572,breathingExercise,300.0
6,False,instagram,openedApp,Europe/Berlin,1750461218.000112,breathingExercise,300.0
6,True,instagram,openedApp,Europe/Berlin,1750461556.732604,breathingExercise,300.0
6,False,instagram,dismissedAppOpening,Europe/Berlin,1750518529.537936,breathingExercise,
6,False,instagram,openedApp,Europe/Berlin,1750518570.277184,breathingExercise,900.0
6,False,instagram,openedApp,Europe/Berlin,1750521648.660249,breathingExercise,900.0
6,False,instagram,openedApp,Europe/Berlin,1750521808.4087272,breathingExercise,900.0
6,False,instagram,openedApp,Europe/Berlin,1750527870.5024219,breathingExercise,900.0
6,False,instagram,dismissedAppOpening,Europe/Berlin,1750528067.04152,breathingExercise,
6,False,instagram,dismissedAppOpening,Europe/Berlin,1750535812.0963922,breathingExercise,
6,False,instagram,openedApp,Europe/Berlin,1750535841.5099568,breathingExercise,900.0
6,False,instagram,openedApp,Europe/Berlin,1750536005.644722,breathingExercise,600.0
6,False,instagram,openedApp,Europe/Berlin,1750609270.395835,breathingExercise,840.0
6,False,instagram,openedApp,Europe/Berlin,1750609298.35796,breathingExercise,960.0
6,False,instagram,openedApp,Europe/Berlin,1750635793.9809508,breathingExercise,840.0
6,False,instagram,dismissedAppOpening,Europe/Berlin,1750636636.642208,breathingExercise,
6,False,instagram,dismissedAppOpening,Europe/Berlin,1750709362.200561,breathingExercise,
6,False,instagram,openedApp,Europe/Berlin,1750719797.957526,breathingExercise,900.0
6,False,instagram,openedApp,Europe/Berlin,1750719826.466706,breathingExercise,960.0
6,False,instagram,openedApp,Europe/Berlin,1750720271.923887,breathingExercise,960.0
6,False,instagram,openedApp,Europe/Berlin,1750753365.7777262,breathingExercise,900.0
6,False,instagram,openedApp,Europe/Berlin,1750753659.286254,breathingExercise,900.0
6,False,instagram,dismissedAppOpening,Europe/Berlin,1750754250.95472,breathingExercise,
6,False,instagram,openedApp,Europe/Berlin,1750754281.126787,breathingExercise,900.0
6,True,instagram,openedApp,Europe/Berlin,1750754753.72934,breathingExercise,420.0
6,False,instagram,openedApp,Europe/Berlin,1750793616.85002,breathingExercise,900.0
6,False,instagram,openedApp,Europe/Berlin,1750793646.61301,breathingExercise,900.0
6,False,instagram,dismissedAppOpening,Europe/Berlin,1750793663.661117,breathingExercise,
6,False,instagram,openedApp,Europe/Berlin,1750864223.404465,breathingExercise,900.0
6,False,instagram,openedApp,Europe/Berlin,1750869955.083642,breathingExercise,900.0
6,False,instagram,openedApp,Europe/Berlin,1750869987.19332,breathingExercise,900.0
6,True,instagram,openedApp,Europe/Berlin,1750870916.1795301,breathingExercise,960.0
6,False,instagram,openedApp,Europe/Berlin,1750951045.9584908,breathingExercise,1020.0
6,False,instagram,openedApp,Europe/Berlin,1750951362.460938,breathingExercise,960.0
6,False,instagram,dismissedAppOpening,Europe/Berlin,1750952470.2725859,breathingExercise,
6,False,instagram,dismissedAppOpening,Europe/Berlin,1751012590.828901,breathingExercise,
