timezone,resolution,interventionDuration,isReIntervention,app,interventionType,timestamp
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750527077.399543
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750527813.481062
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750529362.706098
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750529411.2996159
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750529529.778105
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750545617.122894
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750546014.039501
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750546134.457859
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750546138.333313
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750546329.181975
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750546347.42927
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750546464.658413
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750581276.557835
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750581293.509043
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750582084.918807
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750590656.046406
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750592197.367097
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750592519.301776
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750592565.4495459
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750592811.510211
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750594677.8384519
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750614838.402619
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750614877.565803
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750677824.995647
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750678373.933528
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750678377.32859
Europe/London,dismissedAppOpening,6,False,tikTok,breathingExercise,1750694128.368967
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750707930.507267
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750708393.652678
Europe/London,openedApp,6,False,tikTok,breathingExercise,1750714626.136622
