timestamp,isReIntervention,resolution,app,interventionDuration,timezone,interventionType,purpose,timeIntervalUntilReIntervention
1751886974.5955071,False,openedApp,instagram,6.0,Europe/Berlin,breathingExercise,,180.0
1751887014.311408,False,closedApp,instagram,,Europe/Berlin,,,
1751888583.458746,False,openedApp,instagram,6.0,Europe/Berlin,breathingExercise,,900.0
1751888633.511059,False,closedApp,instagram,,Europe/Berlin,,,
1751888699.7846498,False,openedApp,instagram,6.0,Europe/Berlin,breathingExercise,,900.0
1751888771.19693,False,closedApp,instagram,,Europe/Berlin,,,
1751951074.216147,False,openedApp,instagram,6.0,Europe/Berlin,breathingExercise,,900.0
1751951342.18159,False,closedApp,instagram,,Europe/Berlin,,,
1751952934.0003672,False,openedApp,instagram,6.0,Europe/Berlin,breathingExercise,,480.0
1751953346.154319,False,closedApp,instagram,,Europe/Berlin,,,
1751991760.279365,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1751992229.666127,False,closedApp,youtube,,Europe/Berlin,,,
1751995276.5909262,False,openedApp,instagram,6.0,Europe/Berlin,breathingExercise,,900.0
1751995289.918999,False,closedApp,instagram,,Europe/Berlin,,,
1751995655.1356258,False,closedApp,instagram,,Europe/Berlin,,,
1751995772.495895,False,closedApp,instagram,,Europe/Berlin,,,
1752004529.906323,False,dismissedAppOpening,youtube,6.0,Europe/Berlin,breathingExercise,,
1752004545.209045,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752004745.067014,False,closedApp,youtube,,Europe/Berlin,,,
1752004763.827538,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752004905.278387,False,closedApp,youtube,,Europe/Berlin,,,
1752008144.275114,False,openedApp,instagram,6.0,Europe/Berlin,breathingExercise,,1200.0
1752009354.429652,False,closedApp,instagram,,Europe/Berlin,,,
1752009635.60213,False,closedApp,instagram,,Europe/Berlin,,,
1752010287.3245568,False,closedApp,instagram,,Europe/Berlin,,,
1752010304.532763,False,openedApp,instagram,6.0,Europe/Berlin,breathingExercise,,480.0
1752010795.117583,False,dismissedAppOpening,instagram,6.0,Europe/Berlin,breathingExercise,,
1752010793.517537,False,closedApp,instagram,,Europe/Berlin,,,
1752010814.612819,False,openedApp,instagram,6.0,Europe/Berlin,breathingExercise,,600.0
1752011395.206423,False,closedApp,instagram,,Europe/Berlin,,,
1752012947.59835,False,closedApp,instagram,,Europe/Berlin,,,
1752012965.428287,False,openedApp,instagram,6.0,Europe/Berlin,breathingExercise,,300.0
1752013128.725493,False,closedApp,instagram,,Europe/Berlin,,,
1752042484.1955051,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752043523.982832,False,closedApp,youtube,,Europe/Berlin,,,
1752043728.459523,False,openedApp,instagram,6.0,Europe/Berlin,breathingExercise,,600.0
1752044333.217525,False,closedApp,instagram,,Europe/Berlin,,,
1752046202.690483,False,openedApp,instagram,6.0,Europe/Berlin,breathingExercise,,600.0
1752048410.177071,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
1752048547.6595612,False,closedApp,youtube,,Europe/Berlin,,,
1752048639.922604,False,openedApp,youtube,6.0,Europe/Berlin,breathingExercise,,
