interventionType,resolution,isReIntervention,purpose,timezone,interventionDuration,timestamp,app,timeIntervalUntilReIntervention
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750164999.978359,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750165018.086997,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750165048.007069,whastapp,
,closedApp,False,,America/Bogota,,1750165066.580787,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750165374.0151172,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750165427.808995,safari,
,closedApp,False,,America/Bogota,,1750165523.731168,safari,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750165528.5613,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750165810.6722689,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750165881.780524,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750166272.761376,whastapp,780.0
breathingExercise,openedApp,False,Message,America/Bogota,6.0,1750166410.030813,whastapp,300.0
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750166788.65993,safari,480.0
,closedApp,False,,America/Bogota,,1750166960.708303,safari,
,closedApp,False,,America/Bogota,,1750166331.84938,whastapp,
,closedApp,False,,America/Bogota,,1750166485.325282,whastapp,
,closedApp,False,,America/Bogota,,1750166501.730391,whastapp,
,closedApp,False,,America/Bogota,,1750166552.13629,whastapp,
,closedApp,False,,America/Bogota,,1750166736.8479872,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750167085.380005,whastapp,660.0
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750167350.383513,whastapp,840.0
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750171569.209832,whastapp,
,closedApp,False,,America/Bogota,,1750169158.3375401,whastapp,
,closedApp,False,,America/Bogota,,1750171490.454951,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750171948.348964,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750172094.697108,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750172536.957824,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750173908.300808,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750174029.339944,whastapp,900.0
,closedApp,False,,America/Bogota,,1750174082.509815,whastapp,
,closedApp,False,,America/Bogota,,1750174101.2753072,safari,
,closedApp,False,,America/Bogota,,1750174198.080905,whastapp,
,closedApp,False,,America/Bogota,,1750174254.781702,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750174526.7577748,whastapp,480.0
,closedApp,False,,America/Bogota,,1750174547.721743,whastapp,
,closedApp,False,,America/Bogota,,1750175820.832481,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750176190.448917,whastapp,420.0
,closedApp,False,,America/Bogota,,1750176211.076056,whastapp,
,closedApp,False,,America/Bogota,,1750176262.567539,whastapp,
,closedApp,False,,America/Bogota,,1750178243.682668,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750178278.8505502,safari,720.0
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750178593.298259,whastapp,
,closedApp,False,,America/Bogota,,1750178591.308203,safari,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750178942.307611,whastapp,840.0
,closedApp,False,,America/Bogota,,1750179003.508585,whastapp,
,closedApp,False,,America/Bogota,,1750179259.94726,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750179540.942926,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750179545.475028,whastapp,
,closedApp,False,,America/Bogota,,1750179819.382751,whastapp,
,closedApp,False,,America/Bogota,,1750179854.8837729,whastapp,
,closedApp,False,,America/Bogota,,1750180839.319257,whastapp,
,closedApp,False,,America/Bogota,,1750180934.431672,whastapp,
,closedApp,False,,America/Bogota,,1750180972.78391,whastapp,
,closedApp,False,,America/Bogota,,1750181020.658599,whastapp,
,closedApp,False,,America/Bogota,,1750181110.758425,whastapp,
,closedApp,False,,America/Bogota,,1750181195.408506,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750181449.4362478,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750181873.327795,whastapp,660.0
,closedApp,False,,America/Bogota,,1750181920.219563,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750182061.3287501,whastapp,840.0
,closedApp,False,,America/Bogota,,1750182093.985724,whastapp,
,closedApp,False,,America/Bogota,,1750182168.799458,whastapp,
,closedApp,False,,America/Bogota,,1750182332.896922,whastapp,
,closedApp,False,,America/Bogota,,1750182375.056607,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750182550.649321,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750182728.659873,whastapp,900.0
,closedApp,False,,America/Bogota,,1750182764.056775,whastapp,
,closedApp,False,,America/Bogota,,1750182834.8833961,whastapp,
,closedApp,False,,America/Bogota,,1750182914.559876,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750182918.342667,safari,
,closedApp,False,,America/Bogota,,1750182956.684747,whastapp,
,closedApp,False,,America/Bogota,,1750183099.45486,whastapp,
,closedApp,False,,America/Bogota,,1750184836.072593,whastapp,
,closedApp,False,,America/Bogota,,1750185534.6274881,whastapp,
,closedApp,False,,America/Bogota,,1750185668.626375,whastapp,
,closedApp,False,,America/Bogota,,1750185914.729084,whastapp,
,closedApp,False,,America/Bogota,,1750186398.221902,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750186443.850054,safari,780.0
,closedApp,False,,America/Bogota,,1750186480.4076371,safari,
,closedApp,False,,America/Bogota,,1750186521.241156,safari,
,closedApp,False,,America/Bogota,,1750186526.5731568,safari,
,closedApp,False,,America/Bogota,,1750186717.7678242,safari,
,closedApp,False,,America/Bogota,,1750186809.468906,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750187003.9101849,whastapp,660.0
,closedApp,False,,America/Bogota,,1750187060.548156,whastapp,
,closedApp,False,,America/Bogota,,1750187083.517205,whastapp,
,closedApp,False,,America/Bogota,,1750187185.649152,whastapp,
,closedApp,False,,America/Bogota,,1750187289.6014051,whastapp,
,closedApp,False,,America/Bogota,,1750187377.2761269,whastapp,
breathingExercise,openedApp,False,Message,America/Bogota,6.0,1750187397.88202,safari,780.0
,closedApp,False,,America/Bogota,,1750187427.2808971,safari,
,closedApp,False,,America/Bogota,,1750187483.417845,safari,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750187489.144335,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750188142.640275,whastapp,780.0
,closedApp,False,,America/Bogota,,1750188184.820033,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750188190.705646,safari,
,closedApp,False,,America/Bogota,,1750188302.903394,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750188691.206369,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750188705.999829,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750188999.810628,whastapp,900.0
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750189768.928485,whastapp,480.0
,closedApp,False,,America/Bogota,,1750189033.137459,whastapp,
,closedApp,False,,America/Bogota,,1750189984.153939,whastapp,
,closedApp,False,,America/Bogota,,1750190285.1005611,whastapp,
,closedApp,False,,America/Bogota,,1750192793.710428,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750193004.666481,whastapp,840.0
,closedApp,False,,America/Bogota,,1750193150.899724,whastapp,
,closedApp,False,,America/Bogota,,1750193333.75333,whastapp,
,closedApp,False,,America/Bogota,,1750193382.893672,whastapp,
,closedApp,False,,America/Bogota,,1750194339.1861959,whastapp,
,closedApp,False,,America/Bogota,,1750194515.791831,whastapp,
breathingExercise,openedApp,False,Message,America/Bogota,6.0,1750195353.0140982,whastapp,900.0
,closedApp,False,,America/Bogota,,1750195438.113089,whastapp,
,closedApp,False,,America/Bogota,,1750195546.206891,whastapp,
,closedApp,False,,America/Bogota,,1750195612.591577,whastapp,
,closedApp,False,,America/Bogota,,1750195780.1976728,whastapp,
,closedApp,False,,America/Bogota,,1750196370.7983332,whastapp,
,closedApp,False,,America/Bogota,,1750196424.902554,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750196596.348997,whastapp,840.0
,closedApp,False,,America/Bogota,,1750196643.140933,whastapp,
,closedApp,False,,America/Bogota,,1750196671.451867,whastapp,
,closedApp,False,,America/Bogota,,1750196717.935439,whastapp,
breathingExercise,dismissedAppOpening,False,,America/Bogota,6.0,1750196900.982788,whastapp,
breathingExercise,openedApp,False,Stay In the Loop,America/Bogota,6.0,1750197658.481196,whastapp,840.0
