timezone,interventionType,purpose,timestamp,isReIntervention,app,resolution,interventionDuration,timeIntervalUntilReIntervention
Europe/London,breathingExercise,Entertainment,1751237107.837122,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,,1751237171.9705,False,disneyPlus,dismissedAppOpening,6,
Europe/London,breathingExercise,,1751237180.323103,False,disneyPlus,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751237197.589428,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751238924.6091971,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751239157.2617989,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751274610.594936,False,facebook,openedApp,6,300.0
Europe/London,breathingExercise,Entertainment,1751274947.1952338,True,facebook,openedApp,6,180.0
Europe/London,breathingExercise,Entertainment,1751276966.898284,False,instagram,openedApp,6,
Europe/London,breathingExercise,Escape / Avoid,1751280821.655066,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751282727.739244,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751283639.550362,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751285031.378296,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,Escape / Avoid,1751285399.7048159,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,,1751285877.05741,False,disneyPlus,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751285893.8023272,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,,1751288856.396549,False,disneyPlus,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751289033.194217,False,facebook,openedApp,6,300.0
Europe/London,breathingExercise,,1751289358.6429071,True,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,,1751289376.49442,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751289393.961605,False,facebook,openedApp,6,180.0
Europe/London,breathingExercise,,1751289582.397217,False,facebook,dismissedAppOpening,6,
Europe/London,breathingExercise,,1751289814.368775,False,instagram,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751289835.349473,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751290084.759038,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751292145.3458428,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,,1751292391.671392,False,disneyPlus,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751292412.283502,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751293023.902606,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751295604.24048,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751295960.029701,False,disneyPlus,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751309116.839153,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751312143.882959,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751317295.920923,False,instagram,openedApp,6,
Europe/London,breathingExercise,Entertainment,1751319021.506151,False,facebook,openedApp,6,240.0
Europe/London,breathingExercise,Entertainment,1751359961.0747418,False,facebook,openedApp,6,180.0
Europe/London,breathingExercise,Entertainment,1751360173.575602,True,facebook,openedApp,6,180.0
Europe/London,breathingExercise,Entertainment,1751381002.936387,False,instagram,openedApp,6,
Europe/London,breathingExercise,,1751382631.041981,False,instagram,dismissedAppOpening,6,
Europe/London,breathingExercise,Entertainment,1751382658.749325,False,instagram,openedApp,6,
