isReIntervention,timezone,app,timestamp,resolution,interventionDuration,interventionType
False,America/Bogota,tikTok,1749430309.080881,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749430721.1583052,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749430740.9061918,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749430761.1822538,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749430766.010155,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749430801.3172898,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749480493.794382,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749499711.921142,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749513431.67337,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749513600.181679,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749513615.997373,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749521370.5731401,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749571591.626318,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749581078.706582,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749599314.8526149,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749599837.375373,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749600004.0304399,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749603168.5204902,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749603933.4109259,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749606467.229227,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749607247.389775,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749607262.677617,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749607283.6880589,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749608362.482503,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749609501.380624,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749610239.147018,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749643192.937086,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749643206.7304711,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749643307.374991,dismissedAppOpening,6,breathingExercise
False,America/Bogota,tikTok,1749655048.7073169,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749674270.441679,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749685895.525392,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749687504.418993,openedApp,6,breathingExercise
False,America/Bogota,tikTok,1749687792.617768,openedApp,6,breathingExercise
