Predictor,B (SE),Rate Ratio,95% CI,p
(Intercept),-1.516 (0.082),0.22,"[0.187, 0.259]",< .001
conditionABC,0.046 (0.101),1.047,"[0.86, 1.275]",0.651
conditionACC,0.128 (0.104),1.136,"[0.928, 1.391]",0.218
conditionBCC,-0.07 (0.105),0.932,"[0.76, 1.145]",0.505
dismissed_w1,0.007 (0.001),1.007,"[1.005, 1.009]",< .001
attempted_w1,-0.002 (0),0.998,"[0.997, 0.999]",< .001
