condition,study_week,n_users,mean_initial
ABC,1,55,159.65
ABC,2,55,145.75
ABC,3,54,136.56
ABC,4,55,129.04
ABC,5,55,122.69
ABC,6,55,95.42
ACC,1,57,154.39
ACC,2,56,134.16
ACC,3,56,107.55
ACC,4,57,101.12
ACC,5,57,110.25
ACC,6,57,78.95
BCC,1,49,135.43
BCC,2,49,115.29
BCC,3,49,112.24
BCC,4,48,96.21
BCC,5,48,103.15
BCC,6,49,78.96
CCC,1,57,150.12
CCC,2,57,118.63
CCC,3,57,114.65
CCC,4,57,123.84
CCC,5,57,121.42
CCC,6,57,89.44
