contrast,ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value,p
CCC / ABC,0.955,0.097,Inf,0.783,1.165,1,-0.453,0.651,0.651
CCC / ACC,0.88,0.091,Inf,0.719,1.078,1,-1.231,0.218,0.218
CCC / BCC,1.072,0.113,Inf,0.873,1.317,1,0.667,0.505,0.505
ABC / ACC,0.922,0.093,Inf,0.756,1.124,1,-0.808,0.419,0.419
ABC / BCC,1.123,0.119,Inf,0.912,1.382,1,1.09,0.276,0.276
ACC / BCC,1.218,0.132,Inf,0.985,1.506,1,1.823,0.068,0.068
