Predictor,B (SE),Rate Ratio,95% CI,p
(Intercept),3.571 (0.126),35.559,"[27.635, 46.245]",< .001
conditionABC,-0.012 (0.156),0.988,"[0.727, 1.344]",0.938
conditionACC,-0.315 (0.155),0.73,"[0.538, 0.991]",< .05
conditionBCC,-0.113 (0.162),0.893,"[0.651, 1.228]",0.485
initial_w1,0.005 (0),1.005,"[1.004, 1.006]",< .001
