timestamp,resolution,interventionDuration,isReIntervention,app,interventionType,timezone
1752115304.747407,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752144578.705871,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752170515.0384278,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752171434.5679111,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752173482.3058062,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752175575.755775,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752176845.0765529,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752201384.8916779,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752201438.975291,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752235517.689163,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752238535.171444,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752240992.7938108,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752247798.258729,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752265332.42205,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752288141.3287802,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752324025.6372561,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752324031.613056,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752341476.4044418,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752373656.970259,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752413295.568145,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752418604.2342072,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752455720.785547,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752502989.920308,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752503530.022218,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752508491.1258621,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752510366.068229,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752542044.482671,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752544839.587071,openedApp,3,False,instagram,breathingExercise,America/Toronto
1752580716.8206239,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752581629.955909,dismissedAppOpening,3,False,instagram,breathingExercise,America/Toronto
1752598730.55147,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752599584.2480621,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752606847.04994,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752612253.22944,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752612267.8094459,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752618245.208753,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752618246.6612139,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752618568.98945,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752622559.230362,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752622753.4296331,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752623373.140458,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752624720.917019,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752624887.5104818,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752626904.772153,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752631166.591341,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752631568.412916,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752632825.9937181,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752632857.4408379,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752632921.1557379,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752634224.302743,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752634349.220636,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752663825.4932241,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752669386.995904,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752678635.990824,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752678820.951855,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752680521.431006,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752681093.669802,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752690630.966414,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752692577.2602239,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752695951.591574,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752699698.426233,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752714466.4097471,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752715244.358258,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752715262.500052,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752715460.474673,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752715797.084502,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752716403.2931828,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752756777.487687,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752759608.523808,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752760101.776425,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752766694.524503,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752769170.850894,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752772558.363266,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752773844.541387,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752781745.856824,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752784704.51411,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752785480.300015,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752787184.576579,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752787887.0353951,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752790351.07656,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752790858.540701,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752792334.096336,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752805887.174914,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752837342.30882,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752837976.150188,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752844756.269651,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752854623.088054,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752856202.887074,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752861151.4531112,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752861362.270082,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752867506.541326,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752870406.493863,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752896884.652982,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1752928160.612658,openedApp,6,False,instagram,breathingExercise,America/Toronto
1752975728.685662,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753025456.697196,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753038123.179179,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753069465.7935839,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753069768.129095,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753133016.428975,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753141876.187129,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753145808.70891,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753151863.7663732,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753153137.229288,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753178213.6565151,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753178529.643419,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753183996.473928,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753186059.493257,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753198833.375502,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753204780.884286,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753208785.380114,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753209256.0295448,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753223511.299542,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753226511.857829,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753226881.0084171,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753236087.246194,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753310667.482543,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753319756.045238,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753319775.1796808,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753323959.095442,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753357823.402483,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753363568.993542,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753396757.626381,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753452049.062712,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753455974.472235,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753457169.087617,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753459677.798123,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753459741.607976,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753463427.275867,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753490056.1190782,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753490070.428905,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753491681.860816,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753543600.5254068,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753544230.2582412,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753625023.624053,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753636351.977703,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753643062.766336,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753666632.947222,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753701122.5352302,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753701485.988795,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753734090.756435,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753735862.046495,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753735961.761816,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753793980.618369,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753801865.2042131,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753803480.574913,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753807321.6546679,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753818779.479545,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753874537.7438722,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753875784.507941,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753879542.166333,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753879690.931148,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753879705.038175,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753908292.2862659,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753909647.170794,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753911276.446492,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753912251.405623,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753927597.598675,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753961910.7623858,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753994784.2675629,openedApp,6,False,instagram,breathingExercise,America/Toronto
1753995069.552187,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753996538.8294148,dismissedAppOpening,6,False,instagram,breathingExercise,America/Toronto
1753997768.2568579,openedApp,6,False,instagram,breathingExercise,America/Toronto
1754050299.976706,openedApp,6,False,instagram,breathingExercise,America/Toronto
1754051897.6357288,openedApp,6,False,instagram,breathingExercise,America/Toronto
1754058551.378799,openedApp,6,False,instagram,breathingExercise,America/Toronto
1754106891.709521,openedApp,6,False,instagram,breathingExercise,America/Toronto
1754144273.545998,openedApp,6,False,instagram,breathingExercise,America/Toronto
1754144352.0574489,openedApp,6,False,instagram,breathingExercise,America/Toronto
1754147707.7834601,openedApp,6,False,instagram,breathingExercise,America/Toronto
