resolution,interventionType,timezone,interventionDuration,timestamp,app,isReIntervention,purpose
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748409129.914294,instagram,False,
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748410314.556467,google,False,
openedApp,breathingExercise,Europe/Berlin,3,1748414722.66138,instagram,False,Auf dem Laufenden bleiben
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748414863.4656901,instagram,False,
openedApp,breathingExercise,Europe/Berlin,3,1748422042.3312302,snapchat,False,Auf dem Laufenden bleiben
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748423674.3014069,instagram,False,
openedApp,breathingExercise,Europe/Berlin,3,1748423737.972206,instagram,False,Infos suchen
openedApp,breathingExercise,Europe/Berlin,3,1748432001.450351,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748432033.505167,snapchat,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748432770.429492,snapchat,False,Nachricht / Schreiben
openedApp,breathingExercise,Europe/Berlin,3,1748436364.4431171,snapchat,False,Auf dem Laufenden bleiben
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748436507.039182,google,False,
openedApp,breathingExercise,Europe/Berlin,3,1748438307.380223,instagram,False,Nachricht / Schreiben
openedApp,breathingExercise,Europe/Berlin,3,1748438968.474261,instagram,False,Langeweile
openedApp,breathingExercise,Europe/Berlin,3,1748440259.742725,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748441469.9293098,google,False,Klo
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748441484.593289,instagram,False,
openedApp,breathingExercise,Europe/Berlin,3,1748441503.591347,instagram,False,Ablenkung
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748446417.062582,google,False,
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748446428.0357351,google,False,
openedApp,breathingExercise,Europe/Berlin,3,1748447526.4910522,google,False,Infos suchen
openedApp,breathingExercise,Europe/Berlin,3,1748455531.3850899,snapchat,False,Etwas posten
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748455768.8339682,google,False,
openedApp,breathingExercise,Europe/Berlin,3,1748459204.099534,google,False,Infos suchen
openedApp,breathingExercise,Europe/Berlin,3,1748509206.371122,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748509794.244669,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748509891.805356,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748510312.4834042,snapchat,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748511019.138249,snapchat,False,Auf dem Laufenden bleiben
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748511080.673118,instagram,False,
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748511083.7765431,instagram,False,
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748511085.333622,instagram,False,
openedApp,breathingExercise,Europe/Berlin,3,1748512487.818078,google,False,Entspannung
openedApp,breathingExercise,Europe/Berlin,3,1748518764.712713,instagram,False,Langeweile
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748519330.311743,instagram,False,
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748520515.242388,instagram,False,
openedApp,breathingExercise,Europe/Berlin,3,1748521871.912527,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748526475.300544,instagram,False,Auf dem Laufenden bleiben
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748531002.383091,google,False,
openedApp,breathingExercise,Europe/Berlin,3,1748538312.480211,snapchat,False,Etwas posten
openedApp,breathingExercise,Europe/Berlin,3,1748539599.3255482,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748541178.385295,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748543810.690651,instagram,False,Klo
openedApp,breathingExercise,Europe/Berlin,3,1748592819.128669,snapchat,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748592881.9792728,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748593314.922453,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748594298.198539,instagram,False,Ablenkung
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748597752.736452,snapchat,False,
openedApp,breathingExercise,Europe/Berlin,3,1748598010.4195452,instagram,False,Auf dem Laufenden bleiben
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748599773.076116,snapchat,False,
openedApp,breathingExercise,Europe/Berlin,3,1748607395.478716,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748607960.539266,google,False,Ablenkung
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748618796.394975,instagram,False,
dismissedAppOpening,breathingExercise,Europe/Berlin,3,1748618799.9978309,snapchat,False,
openedApp,breathingExercise,Europe/Berlin,3,1748618810.883472,snapchat,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748682990.788274,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748683491.243556,snapchat,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748687008.390253,instagram,False,Auf dem Laufenden bleiben
openedApp,breathingExercise,Europe/Berlin,3,1748687947.107026,google,False,Infos suchen
