timestamp,app,timezone,interventionDuration,isReIntervention,interventionType,resolution
1752942894.726399,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1752944871.8615432,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1752944899.340039,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1752945001.095986,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1752949388.519634,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1752977307.3807402,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1752977967.821816,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1752978949.867836,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1752979375.2423902,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1752979943.38487,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1752981810.5607262,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1752984286.7547688,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753006110.78859,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753006350.847239,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753006979.447877,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753007643.619189,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753009068.0473862,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753009269.68641,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753009271.194771,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753009274.734037,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753010588.935926,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753013659.801207,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753014891.1762362,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753016357.6860971,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753016462.450831,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753016642.710114,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
