isReIntervention,app,resolution,timestamp,timezone,interventionDuration,interventionType,purpose
False,instagram,openedApp,1753707697.2285252,America/Argentina/Cordoba,,,
False,instagram,closedApp,1753708297.228526,America/Argentina/Cordoba,,,
False,instagram,dismissedAppOpening,1753708297.228526,America/Argentina/Cordoba,,,
False,instagram,dismissedAppOpening,1753708299.756046,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753707702.868463,America/Argentina/Cordoba,,,
False,instagram,closedApp,1753708302.868464,America/Argentina/Cordoba,,,
False,instagram,dismissedAppOpening,1753708302.868464,America/Argentina/Cordoba,,,
False,instagram,dismissedAppOpening,1753738878.3733392,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753746061.939468,America/Argentina/Cordoba,,,
False,instagram,closedApp,1753746661.9394689,America/Argentina/Cordoba,,,
False,instagram,dismissedAppOpening,1753746661.9394689,America/Argentina/Cordoba,,,
False,instagram,openedApp,1753746067.217854,America/Argentina/Cordoba,,,
False,instagram,closedApp,1753746667.217855,America/Argentina/Cordoba,,,
False,instagram,dismissedAppOpening,1753746667.217855,America/Argentina/Cordoba,,,
False,instagram,dismissedAppOpening,1753746675.258745,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753746110.507494,America/Argentina/Cordoba,,,
False,instagram,closedApp,1753746710.507495,America/Argentina/Cordoba,,,
False,instagram,dismissedAppOpening,1753746710.507495,America/Argentina/Cordoba,,,
False,instagram,openedApp,1753746724.350472,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753746804.74382,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753751597.655352,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753752828.55029,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753796272.3938332,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,dismissedAppOpening,1753809524.651144,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753811895.07341,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753829679.82648,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753842332.928932,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753843373.041853,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753845857.3785172,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753847956.81991,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753848908.4482388,America/Argentina/Cordoba,,,
False,instagram,closedApp,1753849508.44824,America/Argentina/Cordoba,,,
False,instagram,dismissedAppOpening,1753849508.44824,America/Argentina/Cordoba,,,
False,instagram,openedApp,1753915332.016496,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753921699.8451009,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753966440.253197,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753985842.3791208,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753987897.9066172,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,dismissedAppOpening,1753989874.772289,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1753993810.462504,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1754005579.6479468,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1754074569.707065,America/Argentina/Cordoba,3.0,breathingExercise,Entretenimiento
False,instagram,openedApp,1754088940.3852649,America/Argentina/Cordoba,3.0,breathingExercise,Escapar / Evitar
False,instagram,openedApp,1754100904.47409,America/Argentina/Cordoba,3.0,breathingExercise,Entretenimiento
False,instagram,openedApp,1754156966.077256,America/Argentina/Cordoba,3.0,breathingExercise,Publicar algo
False,instagram,openedApp,1754157048.7589312,America/Argentina/Cordoba,3.0,breathingExercise,Publicar algo
False,instagram,openedApp,1754167746.01525,America/Argentina/Cordoba,3.0,breathingExercise,Entretenimiento
False,instagram,openedApp,1754170052.4146771,America/Argentina/Cordoba,3.0,breathingExercise,Entretenimiento
False,instagram,openedApp,1754178691.346188,America/Argentina/Cordoba,3.0,breathingExercise,Aburrido
False,instagram,dismissedAppOpening,1754188860.895815,America/Argentina/Cordoba,3.0,breathingExercise,
False,instagram,openedApp,1754189868.168989,America/Argentina/Cordoba,3.0,breathingExercise,Mantente Informado
False,instagram,openedApp,1754228899.223022,America/Argentina/Cordoba,3.0,breathingExercise,Entretenimiento
