resolution,timestamp,isReIntervention,interventionDuration,timezone,interventionType,app
openedApp,1749079958.445928,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749080167.550387,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749080175.227803,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749080183.747326,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749081256.08461,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749081574.440875,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749081847.312848,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749116205.851001,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749116573.228293,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749121345.787549,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749122049.995326,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749122367.0948138,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749123598.307849,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749124355.92143,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749124365.66298,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749125394.3595319,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749127779.728531,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749128741.93932,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749128768.2783241,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749128891.961547,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749128938.237764,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749134695.0840092,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749139157.8386788,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749139318.706083,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749140873.40679,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749141504.3382092,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749142004.457376,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749142742.815017,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749143230.8521218,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749145276.0421538,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749145841.339144,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749148062.1407099,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749148115.946371,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749148253.869683,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749152088.001281,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749152132.742326,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749153002.683172,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749153011.8047628,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749155276.1524081,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749155328.1944041,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749157853.233652,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749157941.865278,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749158206.569868,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749158515.0424109,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749158648.106786,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749158894.475486,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749159238.2623792,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749161247.017404,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749166728.067181,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749199333.872711,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749199715.206933,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749202210.534301,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749202455.508209,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749202507.947356,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749202536.647263,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749202614.25628,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749204091.220495,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749204629.6936278,False,3,Europe/Budapest,breathingExercise,instagram
openedApp,1749206930.475771,False,3,Europe/Budapest,breathingExercise,instagram
dismissedAppOpening,1749207362.599074,False,3,Europe/Budapest,breathingExercise,instagram
