isReIntervention,timezone,timestamp,resolution,app,interventionDuration,interventionType
False,Europe/Paris,1749187672.932426,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749228727.909587,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749229511.526262,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749230913.79536,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749233502.08747,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749237317.523674,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749238534.996999,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749244580.162976,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749282221.308711,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749284092.687856,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749286027.420076,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749292715.81898,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749297196.000567,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749297912.457037,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749299772.4499512,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749319741.979206,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749323112.8690891,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749325926.5614262,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749326762.07938,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749328106.623403,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749364808.3344421,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749366320.047474,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749366944.532198,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749367537.081873,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749371844.7803822,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749386038.3818889,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749389388.230352,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749391514.6797462,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1749391869.379099,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749393865.36763,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749395415.628943,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749400004.452188,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749406442.0537329,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749410485.210413,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749415137.87672,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1749455293.024293,openedApp,instagram,3.0,breathingExercise
