resolution,app,interventionType,isReIntervention,interventionDuration,timezone,timestamp
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751707298.266835
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751707353.915973
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751708714.2251282
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751710254.393508
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751710431.412281
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751710666.061068
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751713935.7699099
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751715614.066568
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751716377.084558
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751716588.933702
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751719898.682712
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751720587.633297
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751721050.071282
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751721982.557475
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751723680.978446
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751724046.2605538
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751724410.3935661
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751724711.572187
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751724918.129652
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751725437.619852
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751725473.812489
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751725860.139987
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751726444.1692939
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751727100.220664
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751728222.327513
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751729694.922555
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751730098.818012
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751730110.6324801
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751730709.275126
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751731204.0181808
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751732144.636252
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751732350.402464
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751733374.044876
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751733840.735025
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751734371.342509
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751734752.569665
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751735539.230575
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751735547.623115
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751735775.7222219
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751736794.469057
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751736823.746275
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751736891.871438
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751736945.371423
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751736947.9070702
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751736956.372826
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751737670.0838552
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751737986.184165
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751739949.606828
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751741063.677546
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751741067.386311
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751741477.165893
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751741917.230812
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751742312.7399201
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751744471.810827
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751745740.645321
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751746668.595389
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751746791.293647
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751746802.439937
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751747301.312105
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751747492.83481
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751747561.864855
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751748339.174879
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751748458.003093
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751748665.547889
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751748667.936305
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751748689.853281
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751748740.352354
dismissedAppOpening,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751748762.411618
openedApp,instagram,breathingExercise,False,3.0,Europe/Bucharest,1751748770.248777
