isReIntervention,timezone,app,resolution,timestamp,interventionDuration,interventionType
False,Europe/Copenhagen,instagram,openedApp,1751312165.841064,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751313166.471394,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751313781.671423,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751321376.814242,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751346588.498841,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751346968.793087,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751349963.354275,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751355581.175293,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751355583.80544,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751356619.1732721,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751357447.2998,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751358378.1295419,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751361092.787097,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751410754.7196069,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751474354.414087,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751487360.517935,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751488311.361631,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751489775.5043302,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751489915.826198,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751490654.20954,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751524259.30651,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751529406.982167,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751534999.135328,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751535312.034027,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751535372.403926,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751540206.2869859,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751541015.9032788,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751544095.50593,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751548190.073672,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751549168.766545,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751572288.181106,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751575696.4918342,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751575706.675283,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751578296.295752,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751605432.796006,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751609492.7599912,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751610328.436775,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751610464.663791,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751613853.623188,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751613860.093775,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751618135.786666,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751624095.130138,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751628421.416884,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751650097.1190228,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751666822.793637,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751671261.855864,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751707604.23136,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751707712.24973,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751707750.188829,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751710106.865432,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751722239.287734,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751730331.324018,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751756649.5368571,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751759742.720577,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751760025.021972,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751760041.1335402,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751783749.6940122,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751786852.29002,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751789646.971476,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751790790.9526548,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751790844.4292989,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751796621.520972,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751816616.25745,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751821860.254325,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751821956.8254008,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751827458.573592,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751833913.580433,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751833946.976892,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751837840.520113,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751837973.469397,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751870097.4442801,3,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1751873066.382334,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751873500.1552072,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751927871.310282,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751929916.478314,3,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1751933154.976863,3,breathingExercise
