resolution,timezone,app,interventionDuration,interventionType,isReIntervention,timestamp
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750248157.132271
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750252241.009543
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750252243.7168841
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750257096.7878408
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750257099.337856
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750257104.848024
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750257108.58751
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750257113.810195
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750257116.955155
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750257121.255188
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750267934.6287751
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750299874.2438002
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750303271.0203938
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750304612.6305032
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750304618.133453
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750308022.914844
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750310801.903223
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750314206.492756
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750325865.501357
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750343989.8111959
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750343994.575532
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750397358.794633
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750410088.5578709
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750428028.911108
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750430208.980706
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750509537.736691
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750517673.12714
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750567013.4193559
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750611744.70628
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750611883.488698
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750611930.997345
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750612360.9330292
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750643130.597794
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750655034.302506
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750666132.3991818
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750668331.243391
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750668409.7065501
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750668442.7023392
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750680934.656259
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750683060.07241
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750686265.325801
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750686383.8484092
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750687148.239372
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750687361.575907
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750687569.359905
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750687615.481542
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750687661.843291
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750687672.808261
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750688426.361816
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750692515.1494908
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750692558.731467
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750694357.261581
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750698785.3606129
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750700275.93485
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750730095.531512
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750734387.339303
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750743725.3094292
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750753133.852463
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750773810.712685
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750775319.553479
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750775658.394837
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750777416.5880609
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750777869.3097901
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750778063.4700851
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750785356.443273
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750786943.940971
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750789564.5477982
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750815961.762064
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750825287.447713
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750829437.7944942
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750829507.8748012
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750840520.542831
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750840744.639354
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750843564.205709
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750851031.536302
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750851935.5677562
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750861007.484096
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750868537.7739701
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750869982.726777
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750871210.241504
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750903214.476715
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750907896.001595
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750908422.7070122
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750914584.309359
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750914727.563129
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750921709.8106809
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750927431.080855
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750940540.811911
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750941888.3540568
dismissedAppOpening,Asia/Kolkata,instagram,3,breathingExercise,False,1750944480.4591079
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750945146.167799
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750945688.382838
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750945799.614469
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750962127.09392
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750964402.561291
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1750990352.766571
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1751026133.4382138
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1751029857.273059
openedApp,Asia/Kolkata,instagram,3,breathingExercise,False,1751030731.9323
