resolution,interventionDuration,timestamp,interventionType,timezone,isReIntervention,app,purpose,timeIntervalUntilReIntervention,terminationReason
openedApp,3.0,1748911644.012186,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,,
openedApp,3.0,1748917047.994103,donatusStudy,Asia/Kolkata,0.0,instagram,Relax,,
dismissedAppOpening,3.0,1748950634.9266229,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1748950653.839713,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,,
openedApp,3.0,1748953115.840385,donatusStudy,Asia/Kolkata,0.0,instagram,Relax,,
openedApp,3.0,1748953806.446885,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,,
openedApp,3.0,1748957202.075855,donatusStudy,Asia/Kolkata,0.0,instagram,Post something,,
closedApp,,1748968808.841061,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1748969425.9404259,donatusStudy,Asia/Kolkata,0.0,instagram,Stay In the Loop,420.0,
openedApp,3.0,1748969440.734572,donatusStudy,Asia/Kolkata,0.0,instagram,Search Info,,
closedApp,,1748969513.014813,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1748969594.997558,donatusStudy,Asia/Kolkata,0.0,youtube,Search Info,,
closedApp,,1748969623.550348,,Asia/Kolkata,0.0,youtube,,,
openedApp,3.0,1748969924.584069,donatusStudy,Asia/Kolkata,0.0,instagram,Post something,1800.0,
closedApp,,1748970075.042077,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1748970131.788395,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1748970141.0631208,donatusStudy,Asia/Kolkata,0.0,youtube,Bored,,
closedApp,,1748970217.088173,,Asia/Kolkata,0.0,youtube,,,
openedApp,3.0,1748970525.783756,donatusStudy,Asia/Kolkata,0.0,instagram,Post something,,
openedApp,3.0,1748971648.9531078,donatusStudy,Asia/Kolkata,1.0,instagram,Bored,1800.0,
dismissedAppOpening,3.0,1748996240.763833,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1748996268.678722,donatusStudy,Asia/Kolkata,0.0,instagram,Relax,,
openedApp,,1748996232.292646,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1748996292.292647,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,,1748996292.292647,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1748997215.3489552,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,,
openedApp,3.0,1749000121.104226,donatusStudy,Asia/Kolkata,0.0,instagram,Stalk crush,,
openedApp,3.0,1749013943.469455,donatusStudy,Asia/Kolkata,0.0,instagram,Search Info,,
openedApp,3.0,1749016938.497545,donatusStudy,Asia/Kolkata,0.0,instagram,Entertainment,,
openedApp,3.0,1749031190.9504418,donatusStudy,Asia/Kolkata,0.0,instagram,Search Info,,
openedApp,3.0,1749047718.815493,donatusStudy,Asia/Kolkata,0.0,instagram,Post something,,
closedApp,,1749047739.607502,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749049126.776733,donatusStudy,Asia/Kolkata,0.0,instagram,Message,1800.0,
closedApp,,1749049156.199514,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749049253.71811,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749050868.984371,donatusStudy,Asia/Kolkata,0.0,instagram,Relax,1800.0,
openedApp,3.0,1749051360.295559,donatusStudy,Asia/Kolkata,0.0,instagram,Bored,,
dismissedAppOpening,3.0,1749051360.578964,donatusStudy,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749050933.7535539,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749051308.893193,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749051415.1253629,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749051450.1481671,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749051836.5960531,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749051860.433244,,Asia/Kolkata,0.0,instagram,,,
openedApp,,1749050818.817476,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749050878.817476,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,,1749050878.817476,,Asia/Kolkata,0.0,instagram,,,
openedApp,,1749050824.750684,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749050884.750684,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,,1749050884.750684,,Asia/Kolkata,0.0,instagram,,,
openedApp,,1749051275.023004,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749051335.023005,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,,1749051335.023005,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749053041.517673,donatusStudy,Asia/Kolkata,0.0,instagram,Search Info,600.0,
dismissedAppOpening,3.0,1749053179.66355,donatusStudy,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749053161.869642,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749053168.195345,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749053175.9170542,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749054309.2681031,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,1800.0,
closedApp,,1749054617.989277,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749054771.627218,donatusStudy,Asia/Kolkata,0.0,instagram,Search Info,1800.0,
openedApp,,1749054715.5207849,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749054775.5207849,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,,1749054775.5207849,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749054803.5041142,donatusStudy,Asia/Kolkata,0.0,youtube,,,
openedApp,3.0,1749055218.4347448,donatusStudy,Asia/Kolkata,0.0,instagram,Stay In the Loop,1800.0,
closedApp,,1749055234.971344,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749055244.3559341,donatusStudy,Asia/Kolkata,0.0,instagram,Entertainment,,
closedApp,,1749055309.756116,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749055391.320658,donatusStudy,Asia/Kolkata,0.0,instagram,Bored,1800.0,
closedApp,,1749055464.1950378,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749055582.291359,donatusStudy,Asia/Kolkata,0.0,instagram,Bored,1800.0,
closedApp,,1749055652.924839,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749055816.111747,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,1800.0,
closedApp,,1749055922.5775352,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749056311.3666449,donatusStudy,Asia/Kolkata,0.0,instagram,Bored,1800.0,
closedApp,,1749056375.507057,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749056668.719238,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749056680.173259,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedByStructuredIntervention,,1749085790.7048988,structured,Asia/Kolkata,0.0,instagram,,,
dismissedByStructuredIntervention,,1749085791.8254561,structured,Asia/Kolkata,0.0,instagram,,,
openedApp,,1749078164.1016622,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749078224.1016622,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,,1749078224.1016622,,Asia/Kolkata,0.0,instagram,,,
dismissedByStructuredIntervention,,1749086029.8107529,structured,Asia/Kolkata,0.0,instagram,,,
dismissedByStructuredIntervention,,1749086622.602371,structured,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749086686.5283232,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,1800.0,
openedApp,3.0,1749086700.852436,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,,
closedApp,,1749086742.8948011,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749086898.47643,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749087333.995905,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749087344.797003,donatusStudy,Asia/Kolkata,0.0,youtube,Bored,,
closedApp,,1749087385.6119928,,Asia/Kolkata,0.0,youtube,,,
dismissedAppOpening,3.0,1749087520.002675,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749087988.809221,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749089099.33883,donatusStudy,Asia/Kolkata,0.0,youtube,,,
openedApp,3.0,1749089690.95701,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,1800.0,
dismissedAppOpening,3.0,1749090830.810924,donatusStudy,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749089761.044002,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749090492.383033,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749092363.739676,donatusStudy,Asia/Kolkata,0.0,instagram,Bored,1740.0,
closedApp,,1749092547.3795152,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749092722.884275,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749093814.173379,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749098137.824782,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749098156.4151502,donatusStudy,Asia/Kolkata,0.0,instagram,Entertainment,1800.0,
openedApp,3.0,1749098168.9703012,donatusStudy,Asia/Kolkata,0.0,instagram,Relax,,
closedApp,,1749098215.546787,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749098253.349868,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749098272.5183349,donatusStudy,Asia/Kolkata,0.0,youtube,Toilet,,
closedApp,,1749098331.140324,,Asia/Kolkata,0.0,youtube,,,
dismissedAppOpening,3.0,1749098398.755252,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749098438.021415,donatusStudy,Asia/Kolkata,0.0,youtube,Relax,,
closedApp,,1749098513.165401,,Asia/Kolkata,0.0,youtube,,,
closedApp,,1749098532.043356,,Asia/Kolkata,0.0,youtube,,,
closedApp,,1749098964.992223,,Asia/Kolkata,0.0,youtube,,,
dismissedAppOpening,3.0,1749098967.485666,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749099493.454965,donatusStudy,Asia/Kolkata,0.0,youtube,Bored,,
closedApp,,1749099817.650917,,Asia/Kolkata,0.0,youtube,,,
closedApp,,1749100200.4047952,,Asia/Kolkata,0.0,youtube,,,
closedApp,,1749102361.369323,,Asia/Kolkata,0.0,youtube,,,
openedApp,3.0,1749102400.247486,donatusStudy,Asia/Kolkata,0.0,instagram,Entertainment,1800.0,
closedApp,,1749102606.037251,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749103473.793857,donatusStudy,Asia/Kolkata,0.0,instagram,Toilet,240.0,
closedApp,,1749103546.704381,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749103665.5705261,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749103738.52663,donatusStudy,Asia/Kolkata,0.0,instagram,Relax,480.0,
closedApp,,1749103899.140341,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749104482.347924,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749104495.268155,donatusStudy,Asia/Kolkata,0.0,instagram,Post something,1800.0,
closedApp,,1749104727.656692,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749104806.974945,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749104809.3793402,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749105053.9970732,donatusStudy,Asia/Kolkata,0.0,youtube,,,
dismissedAppOpening,3.0,1749105101.364229,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749105106.376128,donatusStudy,Asia/Kolkata,0.0,youtube,,,
openedApp,3.0,1749105932.688127,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,480.0,
closedApp,,1749106279.09552,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749106615.476005,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749108385.948379,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749115469.137305,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749115665.2227268,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749116504.287899,donatusStudy,Asia/Kolkata,0.0,instagram,Entertainment,420.0,
closedApp,,1749116576.150295,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749116620.8153958,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749117369.831809,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749117475.103435,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749117623.4183512,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749118783.170875,donatusStudy,Asia/Kolkata,0.0,instagram,Relax,1800.0,
closedApp,,1749118800.0201988,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749118822.189889,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749119206.437444,donatusStudy,Asia/Kolkata,0.0,instagram,Relax,1800.0,
closedApp,,1749119231.315271,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749119326.3935308,donatusStudy,Asia/Kolkata,0.0,instagram,Search Info,,
closedApp,,1749119406.440372,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749119872.7271218,,Asia/Kolkata,0.0,instagram,,,
