app,isReIntervention,timezone,interventionDuration,interventionType,resolution,timestamp
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749232914.2501159
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749235717.483058
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749236850.7326012
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749241714.810934
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749241785.625996
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749281470.252733
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749281978.953785
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749288226.578058
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749293901.687577
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749294140.9670482
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749294454.310292
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749296262.9548001
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749298140.4558191
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749298228.751183
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749298294.4043078
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749307851.127598
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749311789.870395
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749313348.120302
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749313875.281866
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749316295.0572019
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749318182.988885
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749327161.9431891
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749327860.132228
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749329100.792862
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749329209.205976
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749329232.02421
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749329252.8470569
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749329263.796208
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749329366.93439
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749334201.782013
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749334294.340364
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749334308.93828
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749340234.54312
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749370460.6658978
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749370782.286767
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749377269.1335568
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749382798.688746
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749383761.16665
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749385850.463304
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749401143.0811281
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749406089.9488769
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749406134.580398
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749406143.616451
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749406299.099539
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749406323.3678079
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749411417.843029
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749413509.0323892
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749413603.895543
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749456123.6281838
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749456746.898847
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749460256.522492
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749460376.886174
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749460511.893162
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749461530.965828
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749461590.536182
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749464738.569083
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749465460.904623
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749467732.018443
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749468095.124227
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749470299.020714
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749471643.110122
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749473068.40905
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749473216.9041271
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749473240.528771
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749475586.396249
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749478009.587614
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749478645.479651
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749480399.889292
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749491024.62759
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749495454.954148
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749496127.791823
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749499230.326295
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749538463.498155
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749549133.962531
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749558932.969077
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749559637.4606829
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749559713.347111
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749560436.4480429
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749565277.5855079
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749566131.202641
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749566549.980655
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749567505.734291
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749567676.0921612
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749573091.464446
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749573119.703604
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749577071.4367719
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749577704.37625
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749578633.45535
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749578680.420131
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749578690.339443
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749579792.433848
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749582651.8225799
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749583510.688652
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749585685.360295
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749586241.4514298
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749623930.49199
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749624797.83915
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749625159.184895
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749627701.712908
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749628482.2483249
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749628677.223242
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749629406.706713
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749629732.3883538
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749629968.990261
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749629979.1915832
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749630677.1396232
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749631642.712929
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749633888.4942589
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749634622.693002
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749636183.636393
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749642535.322079
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749650594.51482
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749654461.2466621
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749656153.770845
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749658202.4904408
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749658581.246643
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749660146.269925
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749664013.75534
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749665546.395427
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749670862.5313768
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749671306.918731
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749671950.108007
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749671970.220911
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749672998.398088
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749714746.544918
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749732477.506071
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749734403.90155
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749734875.980335
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749737256.091195
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749737442.712844
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749739328.813871
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749740626.035427
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749749886.836441
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749758103.094599
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749761614.0040278
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749798172.696854
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749803566.555245
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749803797.315279
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749810835.54325
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749822152.550329
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749822314.9070039
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749825153.304452
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749825213.3504791
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749825415.740044
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749826414.719768
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749826840.558353
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749830340.0066671
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749835532.677093
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749837695.772303
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749885010.404945
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749885110.038927
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749885827.920876
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749888756.768578
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749890130.958024
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749895304.111481
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749895471.031619
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749896077.3735862
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749896638.7809439
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749898928.553203
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749899155.0857391
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749899249.824597
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749899343.606343
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749899472.645877
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749899603.418124
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749901503.890233
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749906635.266139
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749908995.475545
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749909352.05179
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749910592.060378
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749911086.5935059
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749916783.209486
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749917097.874021
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749917111.990324
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749917155.543651
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749917321.913914
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749917349.5608811
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749917486.639463
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749918969.050988
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749929545.6895452
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749971033.54884
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749975276.351605
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749977290.9239678
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749977411.7487411
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749977421.274623
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749980108.89325
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749980350.264913
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749986874.792984
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749986928.252761
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749987504.544355
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749987545.900484
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749988353.179582
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749989230.574253
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749992315.0222368
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749993017.90045
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749996096.384016
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1749996254.414174
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1749997548.799741
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750017228.332072
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750017728.0274801
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750018116.426697
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750020574.661895
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750022846.7375898
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750023056.86513
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750023211.592454
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750023260.03337
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750052728.481389
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750066209.691962
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750067573.94121
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750068165.604979
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750068680.332016
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750069956.925446
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750070206.7169042
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750075269.98836
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750076940.208947
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750078245.200105
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750086986.18942
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750093714.324338
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750093805.604403
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750093871.063923
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750093954.100538
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750094006.242443
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750094640.7683048
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750094679.1935492
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750095874.040252
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750097108.227552
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750098143.29691
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750098564.5456161
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750099560.937952
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750099848.132234
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750099873.5351682
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750100230.690903
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750100733.711221
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750101591.34587
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750102044.708363
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750103171.2010422
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750103212.467742
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750145692.9461079
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750146106.2319431
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750146352.0468469
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750147079.0698109
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750149257.926323
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750150058.3087878
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750150589.3004122
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750152171.355576
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750152256.492824
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750166172.271893
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750173993.202384
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750182602.3000112
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750185554.780652
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750185608.614334
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750185667.189069
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750185898.41404
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750188387.660921
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750231828.00315
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750233099.9413629
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750237341.2659311
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750246873.1146111
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750247494.197493
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750247756.209621
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750247771.2946439
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750248980.8745399
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750248988.0406961
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750250175.388262
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750263440.444854
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750263799.8519092
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750264295.437068
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750264450.851678
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750266058.1607099
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750266211.66124
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750269629.629233
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750269884.824133
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750269989.431223
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750270406.9845362
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750270490.363034
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750270779.9328032
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750271392.405319
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750272101.83974
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750272302.6049151
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750272360.4518862
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750272388.672065
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750275068.24803
instagram,False,Europe/Paris,3,breathingExercise,dismissedAppOpening,1750275578.824465
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750314681.208627
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750315060.534597
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750320421.180283
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750320539.911631
instagram,False,Europe/Paris,3,breathingExercise,openedApp,1750320838.771532
