isReIntervention,resolution,app,timezone,timestamp,purpose,interventionDuration,interventionType
False,closedApp,linkedin,Europe/Brussels,1750619589.585383,,,
False,closedApp,linkedin,Europe/Brussels,1750619592.581356,,,
False,closedApp,linkedin,Europe/Brussels,1750619622.182322,,,
False,closedApp,linkedin,Europe/Brussels,1750619626.022315,,,
False,closedApp,linkedin,Europe/Brussels,1750619631.8136148,,,
False,closedApp,linkedin,Europe/Brussels,1750619652.324889,,,
False,openedApp,microsoftTeams,Europe/Brussels,1750619682.400491,Blijf in de lus,3.0,breathingExercise
False,openedApp,microsoftTeams,Europe/Brussels,1750623287.291105,Blijf in de lus,3.0,breathingExercise
False,closedApp,linkedin,Europe/Brussels,1750623323.9304729,,,
False,closedApp,linkedin,Europe/Brussels,1750623324.0077229,,,
False,closedApp,linkedin,Europe/Brussels,1750623324.821274,,,
False,closedApp,linkedin,Europe/Brussels,1750623331.210184,,,
False,closedApp,linkedin,Europe/Brussels,1750623334.5185618,,,
False,closedApp,linkedin,Europe/Brussels,1750623341.712132,,,
False,closedApp,linkedin,Europe/Brussels,1750623345.758877,,,
False,closedApp,linkedin,Europe/Brussels,1750623348.338768,,,
False,closedApp,linkedin,Europe/Brussels,1750623354.526245,,,
False,closedApp,linkedin,Europe/Brussels,1750629526.3516788,,,
False,closedApp,linkedin,Europe/Brussels,1750629530.324418,,,
False,closedApp,linkedin,Europe/Brussels,1750629531.571086,,,
False,closedApp,linkedin,Europe/Brussels,1750636258.4268951,,,
False,closedApp,linkedin,Europe/Brussels,1750636264.288804,,,
False,closedApp,linkedin,Europe/Brussels,1750636268.367093,,,
False,closedApp,linkedin,Europe/Brussels,1750636271.584979,,,
False,closedApp,linkedin,Europe/Brussels,1750636297.023436,,,
False,closedApp,linkedin,Europe/Brussels,1750636317.6061811,,,
False,openedApp,microsoftTeams,Europe/Brussels,1750636432.7523332,Blijf in de lus,3.0,breathingExercise
False,dismissedByStructuredIntervention,microsoftTeams,Europe/Brussels,1750655727.968001,,,structured
False,openedApp,microsoftTeams,Europe/Brussels,1750660275.765661,Zoek informatie,3.0,breathingExercise
False,closedApp,linkedin,Europe/Brussels,1750660390.3355598,,,
False,closedApp,linkedin,Europe/Brussels,1750660392.81171,,,
False,closedApp,linkedin,Europe/Brussels,1750660397.448178,,,
False,closedApp,linkedin,Europe/Brussels,1750667431.48208,,,
False,closedApp,linkedin,Europe/Brussels,1750667434.897805,,,
False,closedApp,linkedin,Europe/Brussels,1750667437.225307,,,
