timestamp,interventionType,app,isReIntervention,timezone,interventionDuration,resolution,timeIntervalUntilReIntervention
1752324374.261437,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,600.0
1752324509.4620562,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1380.0
1752325398.160991,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,60.0
1752325516.492879,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,960.0
1752332447.641433,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752334294.6468902,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1560.0
1752344002.430445,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1320.0
1752351592.1937041,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752358165.9534512,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1560.0
1752359677.184064,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1500.0
1752395285.333694,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752396574.985046,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1320.0
1752397230.243967,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1380.0
1752397810.935575,askForTimeLimit,instagram,False,Asia/Kolkata,3,dismissedAppOpening,
1752399435.803852,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1200.0
1752417202.620745,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1380.0
1752429170.0239139,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,720.0
1752435219.497436,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1140.0
1752435948.9134831,askForTimeLimit,instagram,False,Asia/Kolkata,3,dismissedAppOpening,
1752438882.288468,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,60.0
1752441604.5375118,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752441657.4037042,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1380.0
1752442923.3466392,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1500.0
1752455339.661395,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1380.0
1752455497.060237,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1200.0
1752476448.027183,askForTimeLimit,instagram,False,Asia/Kolkata,3,dismissedAppOpening,
1752479414.960902,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752479931.4688349,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,660.0
1752494647.234658,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752495917.546095,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1080.0
1752498510.8723621,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,960.0
1752503789.550043,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1020.0
1752504009.268292,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,720.0
1752505285.552888,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,960.0
1752505799.174559,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,60.0
1752506218.991448,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1260.0
1752510490.6001,askForTimeLimit,instagram,False,Asia/Kolkata,3,dismissedAppOpening,
1752512270.470375,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,1140.0
1752529376.62071,askForTimeLimit,instagram,False,Asia/Kolkata,3,openedApp,780.0
