timezone,interventionType,isReIntervention,app,timestamp,interventionDuration,resolution
America/Toronto,breathingExercise,False,instagram,1753625084.348283,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753626064.110688,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753626304.551595,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753626435.148521,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753627468.403676,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753627581.510772,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753628894.7716398,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753629504.2403212,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753630397.196392,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753630526.282545,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753631558.231137,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753631660.448278,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753631908.05843,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753632243.668443,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753632398.160826,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753632505.781223,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753632974.0716128,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753633673.7200909,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753635355.466352,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753636248.798547,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753642178.24793,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753643911.094407,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753644036.7555509,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753644145.9157681,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753645882.7575521,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753649466.219482,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753650852.570667,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753651047.3255172,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753652760.675393,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753652879.932236,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753655035.840313,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753661254.8674831,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753661591.108829,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753661732.886611,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753661761.1459332,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753665208.379766,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753730789.214676,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753731696.6109529,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753731835.005558,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753732047.315191,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753732064.565404,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753732442.245278,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753732739.80227,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753733159.366204,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753733346.238663,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753733826.2068,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753734271.8396559,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753734503.680063,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753735317.8313,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753735550.58911,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753736367.581627,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753752447.419153,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753754525.627952,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753754913.972213,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753755189.4666119,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753805163.205437,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753805521.612568,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753805769.877355,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753805931.994506,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753806283.6206908,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753807470.874456,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753820297.845868,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753821526.826573,3,openedApp
America/Toronto,breathingExercise,False,instagram,1753821994.576489,3,dismissedAppOpening
America/Toronto,breathingExercise,False,instagram,1753822049.8336558,3,openedApp
