interventionType,isReIntervention,resolution,timestamp,app,timezone,interventionDuration
breathingExercise,False,openedApp,1750876033.180332,instagram,Europe/Rome,3.0
,False,closedApp,1750876540.0789928,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750888630.471889,instagram,Europe/Rome,3.0
,False,closedApp,1750889094.461657,instagram,Europe/Rome,
breathingExercise,False,dismissedAppOpening,1750892205.8995981,instagram,Europe/Rome,3.0
breathingExercise,False,openedApp,1750892218.069617,instagram,Europe/Rome,3.0
,False,closedApp,1750892391.18958,instagram,Europe/Rome,
breathingExercise,False,dismissedAppOpening,1750892405.873683,instagram,Europe/Rome,3.0
breathingExercise,False,openedApp,1750892416.0958571,instagram,Europe/Rome,3.0
,False,closedApp,1750895718.2019858,instagram,Europe/Rome,
,False,closedApp,1750897314.5830789,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750897331.193558,instagram,Europe/Rome,3.0
,False,closedApp,1750897873.710806,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750977226.737736,instagram,Europe/Rome,3.0
,False,closedApp,1750978021.713979,instagram,Europe/Rome,
breathingExercise,False,openedApp,1751183756.221455,instagram,Europe/Rome,3.0
,False,closedApp,1751183863.875026,instagram,Europe/Rome,
breathingExercise,False,openedApp,1751184983.77637,instagram,Europe/Rome,3.0
,False,closedApp,1751185166.2667,instagram,Europe/Rome,
,False,closedApp,1751185569.541441,instagram,Europe/Rome,
breathingExercise,False,openedApp,1751185636.9010758,instagram,Europe/Rome,3.0
,False,closedApp,1751187157.913193,instagram,Europe/Rome,
breathingExercise,False,openedApp,1751198184.0630279,instagram,Europe/Rome,3.0
,False,closedApp,1751198306.1625519,instagram,Europe/Rome,
breathingExercise,False,openedApp,1751198547.558998,instagram,Europe/Rome,3.0
,False,closedApp,1751199167.098433,instagram,Europe/Rome,
breathingExercise,False,openedApp,1751199211.109143,instagram,Europe/Rome,3.0
,False,closedApp,1751199365.588705,instagram,Europe/Rome,
,False,closedApp,1751199848.343682,instagram,Europe/Rome,
breathingExercise,False,openedApp,1751200218.22295,instagram,Europe/Rome,3.0
breathingExercise,False,openedApp,1751204699.03237,instagram,Europe/Rome,3.0
,False,closedApp,1751200298.771877,instagram,Europe/Rome,
,False,closedApp,1751204776.8068771,instagram,Europe/Rome,
breathingExercise,False,openedApp,1751222653.9361029,instagram,Europe/Rome,3.0
,False,closedApp,1751222700.281973,instagram,Europe/Rome,
breathingExercise,False,openedApp,1751231836.00261,instagram,Europe/Rome,3.0
