timestamp,timezone,resolution,interventionType,app,interventionDuration,isReIntervention,timeIntervalUntilReIntervention
1748675004.593286,Asia/Kolkata,openedApp,breathingExercise,instagram,3,False,240.0
1748687051.168157,Asia/Kolkata,openedApp,askForTimeLimit,instagram,3,False,120.0
1748701072.015374,Asia/Kolkata,openedApp,askForTimeLimit,instagram,3,False,300.0
1748710267.626855,Asia/Kolkata,openedApp,askForTimeLimit,instagram,3,False,600.0
1748744129.580926,Asia/Kolkata,openedApp,askForTimeLimit,instagram,3,False,180.0
1748752807.789978,Asia/Kolkata,openedApp,askForTimeLimit,instagram,3,False,120.0
1748752916.8576488,Asia/Kolkata,dismissedAppOpening,askForTimeLimit,instagram,3,False,
1748762430.018688,Asia/Kolkata,openedApp,askForTimeLimit,instagram,3,False,60.0
1748790227.768748,Asia/Kolkata,dismissedAppOpening,askForTimeLimit,instagram,3,False,
1748795373.82975,Asia/Kolkata,openedApp,askForTimeLimit,instagram,3,False,120.0
1748829728.405324,Asia/Kolkata,openedApp,askForTimeLimit,instagram,3,False,120.0
1748861115.305241,Asia/Kolkata,openedApp,askForTimeLimit,instagram,3,False,120.0
1748861255.497973,Asia/Kolkata,openedApp,breathingExercise,instagram,3,True,120.0
1748869518.730423,Asia/Kolkata,openedApp,askForTimeLimit,instagram,3,False,900.0
