resolution,app,isReIntervention,purpose,timestamp,interventionDuration,timezone,interventionType
openedApp,instagram,False,Bored,1750789999.621923,3.0,America/New_York,breathingExercise
openedApp,instagram,False,,1750790295.556833,,America/New_York,
closedApp,instagram,False,,1750790895.556834,,America/New_York,
dismissedAppOpening,instagram,False,,1750790895.556834,,America/New_York,
dismissedAppOpening,instagram,False,,1750823538.1461558,3.0,America/New_York,breathingExercise
openedApp,instagram,False,,1750822941.606556,,America/New_York,
closedApp,instagram,False,,1750823541.606556,,America/New_York,
dismissedAppOpening,instagram,False,,1750823541.606556,,America/New_York,
openedApp,instagram,False,,1750822943.13252,,America/New_York,
closedApp,instagram,False,,1750823543.1325212,,America/New_York,
dismissedAppOpening,instagram,False,,1750823543.1325212,,America/New_York,
openedApp,instagram,False,Relax,1750823571.330605,3.0,America/New_York,breathingExercise
openedApp,instagram,False,,1750823275.933115,,America/New_York,
closedApp,instagram,False,,1750823875.933115,,America/New_York,
dismissedAppOpening,instagram,False,,1750823875.933115,,America/New_York,
openedApp,instagram,False,Relax,1750908238.070967,3.0,America/New_York,breathingExercise
openedApp,instagram,False,,1750909611.59312,,America/New_York,
closedApp,instagram,False,,1750910211.59312,,America/New_York,
dismissedAppOpening,instagram,False,,1750910211.59312,,America/New_York,
openedApp,instagram,False,,1751049271.244131,,America/New_York,
closedApp,instagram,False,,1751049871.244131,,America/New_York,
dismissedAppOpening,instagram,False,,1751049871.244132,,America/New_York,
openedApp,instagram,False,Relax,1751057446.73912,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Relax,1751057535.8175058,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Toilet,1751085125.0606852,3.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1751224412.478858,3.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1751231424.356348,3.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1751232999.24899,3.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1751336397.3451428,3.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1751337618.652454,3.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1751398048.8816528,3.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1751399270.589109,3.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1751400917.192305,3.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1751410340.816448,3.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1751411482.754414,3.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1751414123.134141,3.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1751415013.837333,3.0,America/New_York,breathingExercise
openedApp,youtube,False,,1751419170.967603,,America/New_York,
closedApp,youtube,False,,1751420070.967603,,America/New_York,
dismissedAppOpening,youtube,False,,1751420070.967603,,America/New_York,
openedApp,pinterest,False,Bored,1751424665.210957,3.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1751469514.398588,3.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1751474291.4826012,3.0,America/New_York,breathingExercise
dismissedAppOpening,webtoon,False,,1751476209.103181,3.0,America/New_York,breathingExercise
openedApp,youtube,False,Relax,1751478471.4507031,3.0,America/New_York,breathingExercise
openedApp,youtube,False,Relax,1751480119.3129048,3.0,America/New_York,breathingExercise
dismissedAppOpening,instagram,False,,1751503448.125983,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751554713.757426,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751556737.558724,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751558016.32857,3.0,America/New_York,breathingExercise
dismissedAppOpening,webtoon,False,,1751563286.716927,3.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1751563324.9291759,3.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1751566223.109747,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751567508.973022,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Toilet,1751594099.1521568,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751641077.790298,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751641815.04318,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751664184.3778958,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751683353.470185,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751685343.323798,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751750031.180241,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751833299.3828459,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751834037.0899482,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751836256.163244,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751838031.5205941,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751846422.4116678,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751847015.7523298,3.0,America/New_York,breathingExercise
dismissedAppOpening,instagram,False,,1751848636.120534,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751848650.159925,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751919391.716381,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751920128.858762,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751931439.9032469,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751932232.617756,3.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1751937315.904367,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1751971900.794671,3.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752003766.122119,6.0,America/New_York,breathingExercise
dismissedAppOpening,instagram,False,,1752013754.425116,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Toilet,1752013777.6853561,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752014895.9820309,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752015337.744508,6.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1752023869.4325929,6.0,America/New_York,breathingExercise
openedApp,webtoon,False,Bored,1752025498.790694,6.0,America/New_York,breathingExercise
openedApp,youtube,False,Bored,1752026338.9242969,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752082585.5891662,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752083506.0418181,6.0,America/New_York,breathingExercise
openedApp,instagram,False,Bored,1752154646.560817,6.0,America/New_York,breathingExercise
