interventionType,timezone,isReIntervention,timestamp,app,resolution,interventionDuration,timeIntervalUntilReIntervention,purpose
breathingExercise,America/Merida,False,1752167322.3968701,facebook,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752167334.823344,clashRoyale,openedApp,3.0,240.0,
breathingExercise,America/Merida,False,1752167591.0784988,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752167773.0130482,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752173505.8387852,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752173519.0192652,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752176491.030912,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752176500.440974,instagram,openedApp,3.0,,No puedo dormir
breathingExercise,America/Merida,False,1752179031.313826,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752179116.46035,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752181243.0581532,instagram,openedApp,3.0,,Escapar / Evitar
breathingExercise,America/Merida,False,1752189303.853948,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752189318.2450771,instagram,openedApp,3.0,,Buscar info
breathingExercise,America/Merida,False,1752190161.955666,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752190180.911532,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752190502.7605639,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752190804.273498,safari,openedApp,3.0,,Goon 🥷
breathingExercise,America/Merida,False,1752190835.0300179,safari,openedApp,3.0,,Goon 🥷
breathingExercise,America/Merida,False,1752191294.0650039,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752192531.0961242,instagram,openedApp,3.0,,Escapar / Evitar
breathingExercise,America/Merida,False,1752193948.2557049,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752197505.025495,instagram,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752197988.469218,clashRoyale,openedApp,3.0,360.0,
breathingExercise,America/Merida,True,1752198473.2119079,clashRoyale,openedApp,3.0,300.0,No puedo dormir
breathingExercise,America/Merida,True,1752198793.799082,clashRoyale,openedApp,3.0,1800.0,No puedo dormir
breathingExercise,America/Merida,False,1752202188.925826,instagram,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752204531.675391,youtube,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752204732.724235,youtube,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752204746.76505,safari,openedApp,3.0,,Goon 🥷
askForTimeLimit,America/Merida,False,1752206391.587541,youtube,openedApp,3.0,600.0,
,America/Merida,False,1752204899.118649,pornhub,closedApp,,,
,America/Merida,False,1752204971.135978,pornhub,closedApp,,,
,America/Merida,False,1752205074.64401,pornhub,closedApp,,,
,America/Merida,False,1752205120.6236691,pornhub,closedApp,,,
,America/Merida,False,1752205124.664032,pornhub,closedApp,,,
,America/Merida,False,1752205127.4353318,pornhub,closedApp,,,
,America/Merida,False,1752205359.7835941,pornhub,closedApp,,,
,America/Merida,False,1752205362.586019,pornhub,closedApp,,,
,America/Merida,False,1752205367.743125,pornhub,closedApp,,,
,America/Merida,False,1752205372.1394491,pornhub,closedApp,,,
,America/Merida,False,1752205372.352288,pornhub,closedApp,,,
,America/Merida,False,1752205372.374349,pornhub,closedApp,,,
,America/Merida,False,1752205469.1204739,pornhub,closedApp,,,
,America/Merida,False,1752205469.819437,pornhub,closedApp,,,
askForTimeLimit,America/Merida,False,1752209748.298074,youtube,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752209847.1403708,youtube,openedApp,3.0,2040.0,
askForTimeLimit,America/Merida,False,1752210730.0834951,youtube,openedApp,3.0,600.0,
breathingExercise,America/Merida,False,1752236041.904052,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752236059.840919,instagram,openedApp,3.0,,Obsesionarse con un crush
askForTimeLimit,America/Merida,False,1752236481.80399,youtube,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752237284.1010141,youtube,openedApp,3.0,660.0,
breathingExercise,America/Merida,True,1752237969.988075,youtube,openedApp,3.0,600.0,Entretenimiento
breathingExercise,America/Merida,True,1752238581.231584,youtube,openedApp,3.0,1200.0,Entretenimiento
askForTimeLimit,America/Merida,False,1752239049.1036239,youtube,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752239057.8390222,youtube,openedApp,3.0,540.0,
breathingExercise,America/Merida,False,1752239269.108814,safari,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752239337.806704,youtube,openedApp,3.0,600.0,
breathingExercise,America/Merida,False,1752245816.888047,instagram,openedApp,3.0,,Obsesionarse con un crush
breathingExercise,America/Merida,False,1752246161.781987,instagram,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752246168.1965442,youtube,openedApp,3.0,600.0,
breathingExercise,America/Merida,True,1752246754.548908,youtube,openedApp,3.0,600.0,Aburrido
breathingExercise,America/Merida,False,1752247374.288321,youtube,openedApp,3.0,600.0,Inodoro
breathingExercise,America/Merida,False,1752247788.827208,instagram,openedApp,3.0,,Obsesionarse con un crush
askForTimeLimit,America/Merida,False,1752247846.251791,youtube,openedApp,3.0,180.0,
breathingExercise,America/Merida,False,1752248642.823182,instagram,openedApp,3.0,,No puedo dormir
breathingExercise,America/Merida,False,1752248746.680234,instagram,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752250036.6534638,youtube,openedApp,3.0,1800.0,
breathingExercise,America/Merida,False,1752252025.866255,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752252042.186693,safari,openedApp,3.0,,Relajarse
breathingExercise,America/Merida,False,1752253283.283118,instagram,openedApp,3.0,,Mensaje
askForTimeLimit,America/Merida,False,1752253372.0914888,clashRoyale,openedApp,3.0,300.0,
askForTimeLimit,America/Merida,False,1752253403.766509,youtube,openedApp,3.0,420.0,
askForTimeLimit,America/Merida,False,1752253557.249525,clashRoyale,openedApp,3.0,300.0,
breathingExercise,America/Merida,True,1752253874.009777,clashRoyale,openedApp,3.0,,Inodoro
breathingExercise,America/Merida,False,1752254785.986094,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752255102.5057468,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752257413.438424,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752258210.323024,instagram,openedApp,3.0,,Mensaje
askForTimeLimit,America/Merida,False,1752260009.1186051,youtube,openedApp,3.0,300.0,
askForTimeLimit,America/Merida,False,1752260023.847502,clashRoyale,openedApp,3.0,600.0,
breathingExercise,America/Merida,False,1752260063.697484,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752260166.6362739,instagram,openedApp,3.0,,Mensaje
askForTimeLimit,America/Merida,False,1752260225.476238,clashRoyale,openedApp,3.0,360.0,
breathingExercise,America/Merida,False,1752260599.7943668,clashRoyale,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752260610.328922,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752260727.1996222,clashRoyale,openedApp,3.0,300.0,Inodoro
breathingExercise,America/Merida,False,1752260929.9605951,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752260941.7813768,instagram,openedApp,3.0,,Inodoro
breathingExercise,America/Merida,False,1752261571.475194,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752261581.766974,instagram,openedApp,3.0,,Mensaje
askForTimeLimit,America/Merida,False,1752261861.987057,clashRoyale,openedApp,3.0,240.0,
askForTimeLimit,America/Merida,False,1752261897.863752,clashRoyale,openedApp,3.0,300.0,
breathingExercise,America/Merida,False,1752262054.731341,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752262447.554157,clashRoyale,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752262535.79543,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752262548.069481,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752262776.36008,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752262785.74916,instagram,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752266126.190627,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752266249.749104,clashRoyale,openedApp,3.0,300.0,
breathingExercise,America/Merida,False,1752273089.1590981,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752273103.032624,safari,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752273330.301372,clashRoyale,openedApp,3.0,300.0,
askForTimeLimit,America/Merida,False,1752274154.107836,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752274248.246173,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752274659.243002,clashRoyale,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752274666.83174,clashRoyale,openedApp,3.0,300.0,
breathingExercise,America/Merida,False,1752275410.0521,safari,openedApp,3.0,,Buscar info
askForTimeLimit,America/Merida,False,1752276004.281087,clashRoyale,openedApp,3.0,360.0,
breathingExercise,America/Merida,False,1752279327.714592,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752279496.860786,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752281944.755686,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752282030.407635,instagram,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752282040.367848,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752282088.415783,clashRoyale,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752282127.508717,clashRoyale,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752282583.70052,clashRoyale,openedApp,3.0,360.0,
breathingExercise,America/Merida,False,1752282890.7142959,instagram,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752284093.349513,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752284413.569771,clashRoyale,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752284973.709622,clashRoyale,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752285076.823082,clashRoyale,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752285366.417901,clashRoyale,openedApp,3.0,300.0,
breathingExercise,America/Merida,False,1752287504.2471871,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752287984.0379481,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752288109.5798512,instagram,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752288116.33851,youtube,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752288433.370841,youtube,openedApp,3.0,360.0,
breathingExercise,America/Merida,False,1752321802.844048,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752321924.495905,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752321935.349818,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752326520.9241838,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752328193.9989629,safari,openedApp,3.0,,Buscar info
breathingExercise,America/Merida,False,1752328327.1897612,instagram,openedApp,3.0,,Mensaje
askForTimeLimit,America/Merida,False,1752330877.062379,youtube,openedApp,3.0,600.0,
breathingExercise,America/Merida,True,1752331505.776291,youtube,openedApp,3.0,360.0,Mantente Informado
breathingExercise,America/Merida,False,1752337062.774854,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752366819.721788,safari,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752366910.624747,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752367015.5823689,instagram,openedApp,3.0,,Relajarse
breathingExercise,America/Merida,False,1752367504.503676,safari,openedApp,3.0,,Entretenimiento
askForTimeLimit,America/Merida,False,1752409934.521877,youtube,openedApp,3.0,600.0,
breathingExercise,America/Merida,True,1752410552.091721,youtube,openedApp,3.0,600.0,Mantente Informado
askForTimeLimit,America/Merida,False,1752411544.810899,youtube,openedApp,3.0,600.0,
