timezone,resolution,isReIntervention,interventionDuration,timestamp,app,interventionType,purpose,timeIntervalUntilReIntervention
Europe/Amsterdam,dismissedAppOpening,False,3,1751008643.876116,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751016426.502171,brave,breathingExercise,Zoek informatie,
Europe/Amsterdam,dismissedAppOpening,False,3,1751019868.52034,brave,breathingExercise,,
Europe/Amsterdam,dismissedAppOpening,False,3,1751040960.094073,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751042620.609741,brave,breathingExercise,Zoek informatie,
Europe/Amsterdam,openedApp,False,3,1751051189.480606,brave,breathingExercise,Zoek informatie,
Europe/Amsterdam,openedApp,False,3,1751052027.590873,brave,breathingExercise,Zoek informatie,
Europe/Amsterdam,dismissedAppOpening,False,3,1751056156.299426,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751101422.290203,brave,breathingExercise,Zoek informatie,
Europe/Amsterdam,dismissedAppOpening,False,3,1751104682.546629,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751124437.307167,brave,breathingExercise,Zoek informatie,
Europe/Amsterdam,openedApp,False,3,1751134998.926724,brave,breathingExercise,Zoek informatie,180.0
Europe/Amsterdam,openedApp,True,3,1751135208.34156,brave,breathingExercise,Zoek informatie,120.0
Europe/Amsterdam,dismissedAppOpening,False,3,1751136342.4437551,brave,breathingExercise,,
Europe/Amsterdam,dismissedAppOpening,False,3,1751191110.519938,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751191156.334507,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,dismissedAppOpening,False,3,1751196863.360116,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751196875.739907,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,openedApp,False,3,1751211988.670277,brave,breathingExercise,Zoek informatie,180.0
Europe/Amsterdam,openedApp,False,3,1751212014.2802281,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,openedApp,False,3,1751214450.718888,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,dismissedAppOpening,False,3,1751214500.56176,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751218791.254775,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,openedApp,False,3,1751219521.260035,brave,breathingExercise,Zoek informatie,300.0
Europe/Amsterdam,openedApp,False,3,1751222396.609325,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,openedApp,False,3,1751258065.193938,brave,breathingExercise,Zoek informatie,180.0
Europe/Amsterdam,dismissedAppOpening,False,3,1751258146.858317,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751276495.975068,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,openedApp,False,3,1751276618.7369452,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,openedApp,False,3,1751279521.2886128,brave,breathingExercise,Zoek informatie,180.0
Europe/Amsterdam,openedApp,False,3,1751279722.440607,brave,breathingExercise,Zoek informatie,300.0
Europe/Amsterdam,dismissedAppOpening,False,3,1751280071.783104,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751280085.347653,brave,breathingExercise,Zoek informatie,300.0
Europe/Amsterdam,openedApp,False,3,1751287371.531228,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,openedApp,False,3,1751303319.209478,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,dismissedAppOpening,False,3,1751309279.681669,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751316084.3508291,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,openedApp,False,3,1751318467.382087,brave,breathingExercise,Zoek informatie,300.0
Europe/Amsterdam,openedApp,False,3,1751319037.978641,brave,breathingExercise,Zoek informatie,120.0
Europe/Amsterdam,openedApp,False,3,1751366194.406272,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,openedApp,False,3,1751393410.7729201,brave,breathingExercise,Zoek informatie,180.0
Europe/Amsterdam,dismissedAppOpening,False,3,1751396131.062016,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751404915.0168052,brave,breathingExercise,Zoek informatie,300.0
Europe/Amsterdam,openedApp,False,3,1751456045.0116339,brave,breathingExercise,Zoek informatie,180.0
Europe/Amsterdam,dismissedAppOpening,False,3,1751464874.929566,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751473775.011989,brave,breathingExercise,Zoek informatie,120.0
Europe/Amsterdam,openedApp,False,3,1751561964.658074,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,dismissedAppOpening,False,3,1751566551.140826,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751573947.834712,brave,breathingExercise,Zoek informatie,180.0
Europe/Amsterdam,openedApp,False,3,1751603695.1362429,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,openedApp,False,3,1751629298.769656,brave,breathingExercise,Zoek informatie,300.0
Europe/Amsterdam,openedApp,False,3,1751643208.6802192,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,dismissedAppOpening,False,3,1751646519.563997,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751659058.667846,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,openedApp,False,3,1751660222.6572719,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,dismissedAppOpening,False,3,1751666289.454694,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751666397.8036861,brave,breathingExercise,Zoek informatie,180.0
Europe/Amsterdam,dismissedAppOpening,False,3,1751700037.922682,brave,breathingExercise,,
Europe/Amsterdam,openedApp,False,3,1751722028.970202,brave,breathingExercise,Zoek informatie,60.0
Europe/Amsterdam,openedApp,False,3,1751737789.3212972,brave,breathingExercise,Zoek informatie,300.0
