isReIntervention,timezone,interventionType,timestamp,interventionDuration,app,resolution,purpose
False,America/Toronto,breathingExercise,1752413867.886292,3,instagram,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752423294.970152,3,instagram,openedApp,Stay In the Loop
False,America/Toronto,breathingExercise,1752423601.944809,3,instagram,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752426395.43663,3,facebook,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752426397.634943,3,facebook,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752426672.999004,3,instagram,openedApp,Check likes
False,America/Toronto,breathingExercise,1752427197.849926,3,instagram,openedApp,Message
False,America/Toronto,breathingExercise,1752428253.2732801,3,instagram,openedApp,Entertainment
False,America/Toronto,breathingExercise,1752428439.258153,3,facebook,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752429532.512632,3,tikTok,openedApp,Escape / Avoid
False,America/Toronto,breathingExercise,1752431739.805532,3,instagram,openedApp,Message
False,America/Toronto,breathingExercise,1752433515.388011,3,facebook,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752435306.5494962,3,instagram,openedApp,Entertainment
False,America/Toronto,breathingExercise,1752435443.852899,3,tikTok,openedApp,Escape / Avoid
False,America/Toronto,breathingExercise,1752436145.7141318,3,tikTok,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752437023.7983131,3,instagram,openedApp,Escape / Avoid
False,America/Toronto,breathingExercise,1752437247.16733,3,instagram,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752437262.38867,3,instagram,openedApp,Entertainment
False,America/Toronto,breathingExercise,1752442542.344455,3,instagram,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752442543.86034,3,instagram,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752442842.461705,3,instagram,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752443255.824831,3,facebook,openedApp,Message
False,America/Toronto,breathingExercise,1752455203.833963,3,instagram,openedApp,Entertainment
False,America/Toronto,breathingExercise,1752495740.4734988,3,instagram,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752497051.213927,3,instagram,openedApp,Stay In the Loop
False,America/Toronto,breathingExercise,1752498975.848227,3,facebook,openedApp,Message
False,America/Toronto,breathingExercise,1752499059.556974,3,facebook,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752499063.8360481,3,facebook,dismissedAppOpening,
False,America/Toronto,breathingExercise,1752508422.714643,3,facebook,dismissedAppOpening,
