timezone,app,timestamp,interventionType,resolution,interventionDuration,purpose,isReIntervention
Asia/Riyadh,youtube,1753310511.491193,breathingExercise,openedApp,3.0,Stay In the Loop,False
Asia/Riyadh,instagram,1753311795.588893,breathingExercise,openedApp,3.0,Stay In the Loop,False
Asia/Riyadh,instagram,1753327241.28797,breathingExercise,openedApp,3.0,Stay In the Loop,False
Asia/Riyadh,snapchat,1753327284.777935,breathingExercise,openedApp,3.0,Stay In the Loop,False
Asia/Riyadh,instagram,1753331204.954648,breathingExercise,openedApp,3.0,Stay In the Loop,False
Asia/Riyadh,youtube,1753335051.770872,breathingExercise,dismissedAppOpening,3.0,,False
Asia/Riyadh,twitter,1753341371.448524,breathingExercise,openedApp,3.0,Stay In the Loop,False
Asia/Riyadh,youtube,1753343687.329325,breathingExercise,openedApp,3.0,Stay In the Loop,False
Asia/Riyadh,snapchat,1753344215.0033069,breathingExercise,dismissedAppOpening,3.0,,False
Asia/Riyadh,instagram,1753345751.183776,breathingExercise,openedApp,3.0,Stay In the Loop,False
