timestamp,timezone,interventionType,interventionDuration,resolution,isReIntervention,app
1749434475.193378,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749434636.8077168,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749435043.032119,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749435137.835287,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749435312.0781631,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749435983.291246,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749435993.6110802,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749437816.943344,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749440164.578445,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749448126.8581939,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749448781.816421,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749463272.554481,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749465491.33163,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749468886.107075,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749470729.109798,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749472547.5071769,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749499556.175084,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749499703.4754128,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749504024.483904,America/Bogota,breathingExercise,3,dismissedAppOpening,False,tikTok
1749504035.583152,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749504152.1295671,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749505489.113172,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749506947.99561,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749508474.005358,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749509711.886009,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749511910.748117,America/Bogota,breathingExercise,3,openedApp,False,instagram
