interventionType,isReIntervention,interventionDuration,resolution,app,timezone,timestamp
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752355764.14521
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752361527.16431
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752362754.549438
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752363579.137425
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752363587.448848
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752365927.970329
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752367348.535871
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752371939.652632
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752371941.710917
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752378007.189457
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752381001.412819
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752381613.936019
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752383023.563733
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752383723.0118809
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752391286.375031
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752392896.02526
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752405779.5247989
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752410770.799561
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752411282.601842
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752412006.6261559
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752412681.5712
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752419541.81101
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752423353.343126
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752433605.241148
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752436520.682781
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752436554.3330688
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752439532.8082051
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752441480.288419
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752441912.006765
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752450546.901991
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752463380.75697
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752468358.672916
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752468619.821851
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752468840.8581738
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752471318.451065
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752471919.344708
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752471960.846432
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752475547.109704
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752494528.358581
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752497247.783689
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752497449.435308
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752499807.33852
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752501668.2950048
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752504224.419282
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752504398.905175
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752504403.3265982
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752505224.292414
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752509230.753314
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752509592.577221
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752510984.0036469
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752511094.348063
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752511106.831075
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752512905.2669802
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752513349.26495
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752519269.420764
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752519321.834642
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752521576.761496
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752530173.0926561
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752530222.463676
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752530569.018722
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752530626.156849
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752535884.8228478
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752535900.839189
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752540088.9054198
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752540180.3309488
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752540297.1331491
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752544942.102499
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752544982.2564301
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752546652.782435
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752546855.1359282
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752547278.664475
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752547282.29966
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752547290.322178
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752547334.8726358
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752547683.395825
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752548879.6676521
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752550266.067797
breathingExercise,False,3,openedApp,instagram,America/Toronto,1752551648.526375
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752553001.3870091
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752553825.24047
breathingExercise,False,3,dismissedAppOpening,instagram,America/Toronto,1752554336.63888
