timestamp,app,interventionType,interventionDuration,resolution,timezone,isReIntervention,timeIntervalUntilReIntervention
1750256154.441195,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750256182.580369,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750256187.348957,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750256500.045422,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750259913.816927,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,120.0
1750260206.0308309,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750261409.7679439,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750261436.675782,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750261448.831253,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,60.0
1750261708.095119,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750261913.134791,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750265668.669724,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,60.0
1750266267.284608,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750266415.9866838,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750266937.744652,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,180.0
1750267024.393621,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,180.0
1750267137.4647021,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750267383.82232,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,300.0
1750268538.7374182,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750271810.842627,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750273116.131973,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750275785.478116,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,180.0
1750275862.361685,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750276325.122198,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,60.0
1750276469.240732,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750278355.598884,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750314775.765315,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,180.0
1750321512.518321,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750322134.940026,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750323911.8130221,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,120.0
1750324272.703864,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750325450.5756001,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750326069.9532151,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750326082.934174,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750326254.659292,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750326652.9158878,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750327811.969184,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750328590.614717,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750329928.8989658,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750330095.8859801,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,60.0
1750330986.882262,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750331218.414528,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750333421.40558,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750333443.6204128,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,180.0
1750333500.102415,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750333951.133672,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750341396.6153312,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,180.0
1750341925.322047,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750341930.46155,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750341943.741634,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,60.0
1750341969.557307,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750342385.4349132,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,180.0
1750344928.014869,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750345061.785335,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,240.0
1750345181.458552,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750345556.130031,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750346752.0596871,instagram,breathingExercise,3.0,dismissedAppOpening,Europe/Berlin,False,
1750346953.325722,instagram,breathingExercise,3.0,openedApp,Europe/Berlin,False,180.0
