resolution,timezone,timestamp,isReIntervention,interventionDuration,timeIntervalUntilReIntervention,app,purpose,interventionType
openedApp,Europe/London,1752600650.244268,False,3,480.0,instagram,Search Info,breathingExercise
dismissedAppOpening,Europe/London,1752601881.5172482,False,3,,instagram,,breathingExercise
openedApp,Europe/London,1752656055.1993608,False,3,60.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752671339.774314,False,3,60.0,instagram,Message,breathingExercise
openedApp,Europe/London,1752676096.579782,False,3,60.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752695403.1636748,False,3,120.0,instagram,Entertainment,breathingExercise
openedApp,Europe/London,1752698825.9906158,False,3,180.0,instagram,Search Info,breathingExercise
dismissedAppOpening,Europe/London,1752736247.3418589,False,3,,facebook,,breathingExercise
openedApp,Europe/London,1752736260.9759998,False,3,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752736399.937273,False,3,120.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752736544.413935,True,3,300.0,instagram,Entertainment,breathingExercise
openedApp,Europe/London,1752748528.158632,False,3,60.0,instagram,Bored,breathingExercise
openedApp,Europe/London,1752748951.871064,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752749623.515678,False,3,240.0,facebook,Bored,breathingExercise
openedApp,Europe/London,1752757403.348578,False,3,120.0,instagram,Bored,breathingExercise
openedApp,Europe/London,1752775878.9029698,False,3,180.0,instagram,Entertainment,breathingExercise
openedApp,Europe/London,1752776852.480324,False,3,180.0,facebook,Bored,breathingExercise
dismissedAppOpening,Europe/London,1752777093.4263391,False,3,,instagram,,breathingExercise
openedApp,Europe/London,1752823200.408856,False,3,360.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752827910.441778,False,3,240.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752828046.13482,False,3,240.0,facebook,Search Info,breathingExercise
openedApp,Europe/London,1752828201.0790849,False,3,300.0,facebook,Search Info,breathingExercise
openedApp,Europe/London,1752837443.7100701,False,3,300.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752847166.09549,False,3,300.0,instagram,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1752849833.931808,False,3,,instagram,,breathingExercise
dismissedAppOpening,Europe/London,1752849835.915812,False,3,,instagram,,breathingExercise
openedApp,Europe/London,1752850502.883438,False,3,360.0,instagram,Message,breathingExercise
openedApp,Europe/London,1752852434.986954,False,3,120.0,facebook,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1752854086.0035381,False,3,,instagram,,breathingExercise
openedApp,Europe/London,1752856289.6721091,False,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752856488.023109,True,3,180.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752865167.980266,False,3,60.0,instagram,Message,breathingExercise
openedApp,Europe/London,1752866714.945759,False,3,300.0,facebook,Stay In the Loop,breathingExercise
dismissedAppOpening,Europe/London,1752917964.298749,False,3,,instagram,,breathingExercise
openedApp,Europe/London,1752917979.862993,False,3,420.0,instagram,Toilet,breathingExercise
openedApp,Europe/London,1752923579.0146189,False,3,120.0,facebook,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752923681.2573981,False,3,120.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752933840.8836532,False,3,240.0,instagram,Stay In the Loop,breathingExercise
openedApp,Europe/London,1752942020.740077,False,3,300.0,instagram,Search Info,breathingExercise
openedApp,Europe/London,1752942376.397979,False,3,240.0,facebook,Stay In the Loop,breathingExercise
