app,resolution,isReIntervention,timestamp,timezone,interventionType,interventionDuration,purpose
youtube,openedApp,False,1752108905.184875,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
instagram,openedApp,False,1752145803.0108008,America/Santo_Domingo,,,
instagram,closedApp,False,1752146403.0108008,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752146403.010803,America/Santo_Domingo,,,
instagram,openedApp,False,1752146420.1998792,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
tikTok,openedApp,False,1752147383.679857,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
tikTok,openedApp,False,1752156778.6723661,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
youtube,openedApp,False,1752157925.551202,America/Santo_Domingo,,,
youtube,closedApp,False,1752158525.551202,America/Santo_Domingo,,,
youtube,dismissedAppOpening,False,1752158525.551202,America/Santo_Domingo,,,
youtube,openedApp,False,1752172207.0787702,America/Santo_Domingo,,,
youtube,closedApp,False,1752172807.0787702,America/Santo_Domingo,,,
youtube,dismissedAppOpening,False,1752172807.0787702,America/Santo_Domingo,,,
youtube,openedApp,False,1752182261.578374,America/Santo_Domingo,,,
youtube,closedApp,False,1752182861.578374,America/Santo_Domingo,,,
youtube,dismissedAppOpening,False,1752182861.578374,America/Santo_Domingo,,,
instagram,openedApp,False,1752208030.856585,America/Santo_Domingo,,,
instagram,closedApp,False,1752208630.856585,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752208630.856585,America/Santo_Domingo,,,
instagram,openedApp,False,1752234120.853572,America/Santo_Domingo,,,
instagram,closedApp,False,1752234720.8535728,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752234720.8535728,America/Santo_Domingo,,,
tikTok,openedApp,False,1752235204.478629,America/Santo_Domingo,,,
tikTok,closedApp,False,1752235804.47863,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1752235804.47863,America/Santo_Domingo,,,
youtube,openedApp,False,1752236459.719893,America/Santo_Domingo,breathingExercise,3.0,Escapar / Evitar
instagram,openedApp,False,1752236359.0321221,America/Santo_Domingo,,,
instagram,closedApp,False,1752236959.0321221,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752236959.0321221,America/Santo_Domingo,,,
youtube,openedApp,False,1752265489.8651729,America/Santo_Domingo,,,
youtube,closedApp,False,1752266089.8651729,America/Santo_Domingo,,,
youtube,dismissedAppOpening,False,1752266089.8651729,America/Santo_Domingo,,,
youtube,openedApp,False,1752275143.3588572,America/Santo_Domingo,,,
youtube,closedApp,False,1752275743.3588572,America/Santo_Domingo,,,
youtube,dismissedAppOpening,False,1752275743.3588572,America/Santo_Domingo,,,
youtube,openedApp,False,1752279483.4972172,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
youtube,openedApp,False,1752286010.181118,America/Santo_Domingo,,,
youtube,closedApp,False,1752286610.181118,America/Santo_Domingo,,,
youtube,dismissedAppOpening,False,1752286610.181118,America/Santo_Domingo,,,
youtube,openedApp,False,1752335092.562852,America/Santo_Domingo,,,
youtube,closedApp,False,1752335692.5628529,America/Santo_Domingo,,,
youtube,dismissedAppOpening,False,1752335692.5628529,America/Santo_Domingo,,,
instagram,openedApp,False,1752338136.496719,America/Santo_Domingo,,,
instagram,closedApp,False,1752338736.496719,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752338736.496719,America/Santo_Domingo,,,
instagram,openedApp,False,1752355451.715827,America/Santo_Domingo,,,
instagram,closedApp,False,1752356051.715829,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752356051.715829,America/Santo_Domingo,,,
youtube,openedApp,False,1752367689.375179,America/Santo_Domingo,,,
youtube,closedApp,False,1752368289.375179,America/Santo_Domingo,,,
youtube,dismissedAppOpening,False,1752368289.375179,America/Santo_Domingo,,,
tikTok,openedApp,False,1752382873.753323,America/Santo_Domingo,,,
tikTok,closedApp,False,1752383473.753323,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1752383473.753323,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752411199.9831429,America/Santo_Domingo,breathingExercise,3.0,
instagram,openedApp,False,1752411216.203315,America/Santo_Domingo,breathingExercise,3.0,Aburrido
youtube,openedApp,False,1752412877.805054,America/Santo_Domingo,breathingExercise,3.0,Mantente Informado
instagram,openedApp,False,1752431144.006536,America/Santo_Domingo,,,
instagram,closedApp,False,1752431744.006537,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1752431744.006537,America/Santo_Domingo,,,
youtube,openedApp,False,1752431811.139378,America/Santo_Domingo,,,
youtube,closedApp,False,1752432411.139378,America/Santo_Domingo,,,
youtube,dismissedAppOpening,False,1752432411.139378,America/Santo_Domingo,,,
