interventionDuration,resolution,timezone,app,interventionType,timestamp,isReIntervention
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750184142.887625,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750187179.4862309,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750187870.9313211,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750192121.020422,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750192230.3491058,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750194040.539655,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750199273.236672,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750199695.489955,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750200480.969635,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750203557.207587,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750221014.339031,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750221087.734287,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750221146.3320808,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750225871.745051,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750259080.355733,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750260507.281219,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750260612.352144,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750261214.3356829,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750275055.670111,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750276941.895885,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750281422.5650802,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750282282.868371,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750287399.157989,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750288857.35796,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750296859.814563,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750297298.656343,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750298577.075735,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750300759.604017,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750300970.556158,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750301889.714199,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750339678.2412438,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750355637.37378,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750355975.5551538,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750356244.7015939,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750359667.740588,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750360092.523356,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750360433.6448011,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750369434.734377,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750374251.21068,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750383920.304223,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750384437.486123,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750384785.0632129,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750386379.8228822,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750386816.97972,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750428584.8930721,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750441985.759351,False
3,dismissedAppOpening,America/Monterrey,instagram,breathingExercise,1750442239.075475,False
3,openedApp,America/Monterrey,instagram,breathingExercise,1750442247.435182,False
