interventionType,isReIntervention,app,resolution,timezone,interventionDuration,timestamp,purpose
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753121079.361393,
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753121876.12331,
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753123308.351225,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753125846.780161,Stay In the Loop
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753126095.0204911,Escape / Avoid
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753129018.377774,Message
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753137353.368396,Escape / Avoid
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753137729.030795,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753147798.890907,Bored
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753147959.896908,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753148071.2711658,
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753148074.968005,
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753150844.932822,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753153988.489171,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753156604.370297,Escape / Avoid
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753159528.777275,Check likes
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753161647.06433,Stay In the Loop
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753162717.097053,Entertainment
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753202560.702553,Stay In the Loop
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753209873.006418,Stay In the Loop
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753211744.1528292,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753212743.542173,Escape / Avoid
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753216126.1287332,Check likes
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753226974.312573,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753227333.252482,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753229606.495327,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753230996.7842488,Bored
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753238551.7836552,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753239313.9094481,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753240104.4009361,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753240390.8675861,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753240417.025893,Post something
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753240908.422545,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753240919.1438231,Escape / Avoid
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753242334.662816,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753243481.700552,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753243499.582046,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753244007.0649881,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753246264.7606091,Escape / Avoid
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753249839.289516,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753281195.740327,Stay In the Loop
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753281937.6193938,Stay In the Loop
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753288686.314018,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753288903.540183,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753289464.3479462,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753291763.414633,
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753293835.154841,Post something
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753294332.285349,Check likes
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753295270.864275,Bored
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753296798.435275,Check likes
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753299964.054961,Check likes
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753300881.08924,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753301043.484566,Relax
breathingExercise,False,instagram,openedApp,America/Chicago,3,1753301238.014144,Relax
breathingExercise,False,instagram,dismissedAppOpening,America/Chicago,3,1753307437.983855,
