isReIntervention,timezone,timestamp,resolution,app,interventionType,interventionDuration
False,America/Costa_Rica,1748466079.4565868,openedApp,instagram,,
False,America/Costa_Rica,1748466379.4565868,closedApp,instagram,,
False,America/Costa_Rica,1748466379.456588,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748466082.883085,openedApp,instagram,,
False,America/Costa_Rica,1748466382.883085,closedApp,instagram,,
False,America/Costa_Rica,1748466382.883085,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748467683.4431992,openedApp,instagram,,
False,America/Costa_Rica,1748467983.4431992,closedApp,instagram,,
False,America/Costa_Rica,1748467983.4431992,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748467724.620874,openedApp,instagram,,
False,America/Costa_Rica,1748468024.620874,closedApp,instagram,,
False,America/Costa_Rica,1748468024.620874,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748468296.600379,openedApp,instagram,,
False,America/Costa_Rica,1748468596.60038,closedApp,instagram,,
False,America/Costa_Rica,1748468596.60038,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748484591.198488,openedApp,instagram,,
False,America/Costa_Rica,1748484891.198488,closedApp,instagram,,
False,America/Costa_Rica,1748484891.198488,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748484594.356213,openedApp,instagram,,
False,America/Costa_Rica,1748484894.356214,closedApp,instagram,,
False,America/Costa_Rica,1748484894.356214,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748484597.1023521,openedApp,instagram,,
False,America/Costa_Rica,1748484897.102353,closedApp,instagram,,
False,America/Costa_Rica,1748484897.102353,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748485334.8053389,openedApp,instagram,,
False,America/Costa_Rica,1748485634.80534,closedApp,instagram,,
False,America/Costa_Rica,1748485634.80534,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748485339.561897,openedApp,instagram,,
False,America/Costa_Rica,1748485639.561897,closedApp,instagram,,
False,America/Costa_Rica,1748485639.561897,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748544027.63866,openedApp,instagram,,
False,America/Costa_Rica,1748544327.638661,closedApp,instagram,,
False,America/Costa_Rica,1748544327.638661,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748544031.499107,openedApp,instagram,,
False,America/Costa_Rica,1748544331.499107,closedApp,instagram,,
False,America/Costa_Rica,1748544331.499107,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748544271.077403,openedApp,instagram,,
False,America/Costa_Rica,1748544571.077404,closedApp,instagram,,
False,America/Costa_Rica,1748544571.077404,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748544398.893363,openedApp,instagram,,
False,America/Costa_Rica,1748544698.893363,closedApp,instagram,,
False,America/Costa_Rica,1748544698.893363,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748544444.433299,openedApp,instagram,,
False,America/Costa_Rica,1748544744.433299,closedApp,instagram,,
False,America/Costa_Rica,1748544744.433299,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748544762.20395,dismissedAppOpening,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748544466.418951,openedApp,instagram,,
False,America/Costa_Rica,1748544766.418951,closedApp,instagram,,
False,America/Costa_Rica,1748544766.418951,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748544787.7918491,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748546946.2566319,openedApp,instagram,,
False,America/Costa_Rica,1748547246.2566319,closedApp,instagram,,
False,America/Costa_Rica,1748547246.2566319,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748546950.3961082,openedApp,instagram,,
False,America/Costa_Rica,1748547250.396109,closedApp,instagram,,
False,America/Costa_Rica,1748547250.396109,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748558187.285883,openedApp,instagram,,
False,America/Costa_Rica,1748558487.285883,closedApp,instagram,,
False,America/Costa_Rica,1748558487.285883,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748558191.365202,openedApp,instagram,,
False,America/Costa_Rica,1748558491.365202,closedApp,instagram,,
False,America/Costa_Rica,1748558491.365202,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748558509.218811,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748558722.0593982,openedApp,instagram,,
False,America/Costa_Rica,1748559022.0593982,closedApp,instagram,,
False,America/Costa_Rica,1748559022.0593982,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748579746.7299771,openedApp,instagram,,
False,America/Costa_Rica,1748580046.729978,closedApp,instagram,,
False,America/Costa_Rica,1748580046.729978,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748580347.9368281,openedApp,instagram,,
False,America/Costa_Rica,1748580647.936829,closedApp,instagram,,
False,America/Costa_Rica,1748580647.936829,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748580353.021579,openedApp,instagram,,
False,America/Costa_Rica,1748580653.021579,closedApp,instagram,,
False,America/Costa_Rica,1748580653.021579,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748580355.576231,openedApp,instagram,,
False,America/Costa_Rica,1748580655.576231,closedApp,instagram,,
False,America/Costa_Rica,1748580655.576231,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748580441.089487,openedApp,instagram,,
False,America/Costa_Rica,1748580741.089487,closedApp,instagram,,
False,America/Costa_Rica,1748580741.089487,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748580758.102299,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748580765.185097,openedApp,instagram,,
False,America/Costa_Rica,1748581065.1850982,closedApp,instagram,,
False,America/Costa_Rica,1748581065.1850982,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748581076.956011,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748580868.6061969,openedApp,instagram,,
False,America/Costa_Rica,1748581168.6061969,closedApp,instagram,,
False,America/Costa_Rica,1748581168.6061969,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1748581181.849637,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748634119.124197,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748643271.789566,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748643348.204313,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748643913.972075,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748796657.397451,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748798672.646513,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748914073.483834,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748967298.752379,dismissedAppOpening,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748967572.578556,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748968332.415079,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748969864.773265,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748970741.295632,dismissedAppOpening,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748990637.208722,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748990703.962887,dismissedAppOpening,instagram,breathingExercise,3.0
False,America/Costa_Rica,1748990917.9066,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749038187.395183,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749054625.896805,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749065574.9399772,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749068161.343402,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749175515.130332,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749178389.1197062,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749271827.56185,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749272349.606645,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749403003.0357661,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749403638.711685,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749404397.874515,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749407227.916364,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749410474.553045,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749581819.813106,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749582629.9359632,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749607565.3080049,openedApp,instagram,breathingExercise,3.0
False,America/Costa_Rica,1749654798.0326371,dismissedAppOpening,instagram,breathingExercise,6.0
False,America/Costa_Rica,1749661011.542852,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1749661243.6547241,openedApp,instagram,,
False,America/Costa_Rica,1749661543.6547241,closedApp,instagram,,
False,America/Costa_Rica,1749661543.6547241,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1749661564.3083491,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1749695065.2534919,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1749741220.569872,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1749743102.530284,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1749852883.940908,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1749852962.327468,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1749853596.4942431,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1749854542.430105,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1749863561.314239,openedApp,instagram,,
False,America/Costa_Rica,1749863861.314239,closedApp,instagram,,
False,America/Costa_Rica,1749863861.314239,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1749863879.8895102,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1749871998.156421,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1749872731.246331,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750031087.656211,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750089934.823814,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750113118.123996,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750120514.3741121,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750175746.289036,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750274595.2236319,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750284905.240349,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750303926.090716,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750348199.9592118,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750349910.643184,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750388404.172112,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750608576.55042,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750609289.664437,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750715505.888328,dismissedAppOpening,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750791002.031293,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750802484.665719,openedApp,instagram,,
False,America/Costa_Rica,1750802784.66572,closedApp,instagram,,
False,America/Costa_Rica,1750802784.66572,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1750802804.21415,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750805388.639584,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750859608.6812692,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750860660.9079552,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750864644.307424,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750895041.5881739,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750896869.2579079,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750914679.951384,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750917095.938396,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750965546.671179,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750992437.325197,dismissedAppOpening,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750995988.002089,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1750997162.696669,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1751000013.3275251,openedApp,instagram,,
False,America/Costa_Rica,1751000313.3275251,closedApp,instagram,,
False,America/Costa_Rica,1751000313.3275251,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1751000021.640563,openedApp,instagram,,
False,America/Costa_Rica,1751000321.640563,closedApp,instagram,,
False,America/Costa_Rica,1751000321.640563,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1751000089.184884,openedApp,instagram,,
False,America/Costa_Rica,1751000389.184884,closedApp,instagram,,
False,America/Costa_Rica,1751000389.184884,dismissedAppOpening,instagram,,
False,America/Costa_Rica,1751086476.160575,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1751125706.090452,openedApp,instagram,breathingExercise,6.0
False,America/Costa_Rica,1751146708.180317,openedApp,instagram,breathingExercise,6.0
