resolution,isReIntervention,timestamp,timezone,interventionType,app,interventionDuration
openedApp,False,1751597864.1547542,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751598038.530179,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751611357.023802,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751636247.24117,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751673763.358933,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751684905.373913,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751687167.3870149,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751697831.091809,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751699076.292252,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751699624.362915,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751700011.069648,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751702424.119596,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751703086.793957,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751703153.009561,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751706583.7076201,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1751707294.4892092,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751708444.354433,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751712729.986871,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751713464.7898169,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751713652.899493,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751716810.027529,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751716991.408379,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751717836.882753,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751717949.878893,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751719812.4764252,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751720517.18502,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751725687.049351,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751726299.536497,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1751726647.000068,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751726669.172179,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751727010.4764218,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1751727326.531619,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751727505.683492,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751729792.434936,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751767249.3333158,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751768747.567085,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751772720.16999,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751773476.172327,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751775086.18756,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751776129.210768,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1751779045.7134461,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751781905.848125,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751787316.118895,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751796830.8199449,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1751801636.232727,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751809099.822075,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751846824.970584,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1751855048.103714,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751856328.9160109,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1751858470.50383,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751879775.908914,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1751880000.427346,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751883653.008374,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751891308.260335,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751903334.517583,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751903452.313508,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751904726.871701,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751908687.596504,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751937408.851987,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751941161.173996,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751943727.051029,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751951098.5147371,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751956967.546788,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751957780.364688,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751963724.3274832,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751967969.849636,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751968338.6469579,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751975338.172976,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751987324.811098,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1751988224.5459418,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1751995208.314507,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752024889.739383,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752033829.839898,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752039032.183837,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752039665.4396229,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1752044213.118681,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1752044942.475245,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752045150.494179,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752052040.543989,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1752052093.1429029,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752053458.547843,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752055435.447026,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1752056615.0796561,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752056630.066485,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1752059278.912502,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752059293.524909,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1752060900.968885,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752061003.429487,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752061750.282741,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1752061824.42014,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752062386.341816,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752062896.390923,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1752063034.157524,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752065134.0240111,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752065608.730556,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752067242.722791,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752068002.335253,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752068693.897188,Asia/Seoul,breathingExercise,instagram,6.0
dismissedAppOpening,False,1752068736.55202,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752068755.318297,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752069381.085335,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752069534.301145,Asia/Seoul,breathingExercise,instagram,6.0
openedApp,False,1752069881.091404,Asia/Seoul,breathingExercise,instagram,6.0
