resolution,interventionDuration,isReIntervention,timezone,app,timestamp,interventionType,purpose,timeIntervalUntilReIntervention
dismissedAppOpening,3.0,False,Europe/Paris,6C112417-E9F6-45CC-84C8-005E1A06108F,1752601311.772881,breathingExercise,,
openedApp,3.0,False,Europe/Paris,youtube,1752602182.969304,breathingExercise,Rechercher des informations,
openedApp,3.0,False,Europe/Paris,instagram,1752606406.60771,breathingExercise,Rechercher des informations,
openedApp,3.0,False,Europe/Paris,instagram,1752607282.033249,breathingExercise,Publier quelque chose,
openedApp,3.0,False,Europe/Paris,instagram,1752607693.341662,breathingExercise,Message,
openedApp,3.0,False,Europe/Paris,instagram,1752609252.605483,breathingExercise,Rester au courant,
dismissedAppOpening,3.0,False,Europe/Paris,instagram,1752609639.489637,breathingExercise,,
openedApp,3.0,False,Europe/Paris,instagram,1752610131.765572,breathingExercise,Message,
dismissedAppOpening,3.0,False,Europe/Paris,instagram,1752611486.841248,breathingExercise,,
openedApp,3.0,False,Europe/Paris,instagram,1752611504.115938,breathingExercise,Message,
closedApp,,False,Europe/Paris,leMonde,1752613703.998125,,,
closedApp,,False,Europe/Paris,leMonde,1752613809.518975,,,
closedApp,,False,Europe/Paris,leMonde,1752613985.822247,,,
closedApp,,False,Europe/Paris,leMonde,1752614000.668645,,,
closedApp,,False,Europe/Paris,leMonde,1752614167.6226869,,,
closedApp,,False,Europe/Paris,leMonde,1752614192.514458,,,
closedApp,,False,Europe/Paris,leMonde,1752614324.1992679,,,
closedApp,,False,Europe/Paris,leMonde,1752614338.044111,,,
closedApp,,False,Europe/Paris,leMonde,1752614349.4502249,,,
openedApp,3.0,False,Europe/Paris,48E2496E-C92E-4364-97CE-7E66D65BABD3,1752615263.41311,breathingExercise,Rechercher des informations,
closedApp,,False,Europe/Paris,48E2496E-C92E-4364-97CE-7E66D65BABD3,1752615334.706033,,,
closedApp,,False,Europe/Paris,leMonde,1752616697.675911,,,
closedApp,,False,Europe/Paris,leMonde,1752616788.1590528,,,
closedApp,,False,Europe/Paris,xhamster,1752618720.195135,,,
closedApp,,False,Europe/Paris,xhamster,1752618721.266823,,,
closedApp,,False,Europe/Paris,xhamster,1752618766.181168,,,
closedApp,,False,Europe/Paris,xhamster,1752618960.864232,,,
closedApp,,False,Europe/Paris,xhamster,1752619034.724824,,,
closedApp,,False,Europe/Paris,xhamster,1752619036.084422,,,
closedApp,,False,Europe/Paris,xhamster,1752619037.841148,,,
closedApp,,False,Europe/Paris,xhamster,1752619435.007014,,,
closedApp,,False,Europe/Paris,xhamster,1752619541.921874,,,
closedApp,,False,Europe/Paris,xhamster,1752619550.79185,,,
dismissedAppOpening,3.0,False,Europe/Paris,xhamster,1752619664.219784,breathingExercise,,
dismissedAppOpening,3.0,False,Europe/Paris,instagram,1752645132.530963,breathingExercise,,
openedApp,3.0,False,Europe/Paris,instagram,1752645177.6755161,breathingExercise,Message,
closedApp,,False,Europe/Paris,discord,1752650312.94045,,,
closedApp,,False,Europe/Paris,discord,1752650342.851713,,,
openedApp,3.0,False,Europe/Paris,xvideos,1752651828.426952,breathingExercise,Se détendre,
closedApp,,False,Europe/Paris,xvideos,1752651913.76969,,,
closedApp,,False,Europe/Paris,xvideos,1752651914.408535,,,
