app,timezone,interventionType,resolution,isReIntervention,interventionDuration,timestamp
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1751797181.730778
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1751797192.573937
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1751797265.718851
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1751797285.3641958
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1751797526.12113
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1751797553.903089
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1751804576.851368
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1751823968.599362
instagram,Europe/Lisbon,,openedApp,False,,1751844602.939117
instagram,Europe/Lisbon,,closedApp,False,,1751844722.939117
instagram,Europe/Lisbon,,dismissedAppOpening,False,,1751844722.939117
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1751914528.6932049
instagram,Europe/Lisbon,,openedApp,False,,1751923650.9878979
instagram,Europe/Lisbon,,closedApp,False,,1751923770.9878979
instagram,Europe/Lisbon,,dismissedAppOpening,False,,1751923770.9878979
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1751971161.6506228
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1751988996.8348851
instagram,Europe/Lisbon,,openedApp,False,,1751992746.453162
instagram,Europe/Lisbon,,closedApp,False,,1751992866.4531631
instagram,Europe/Lisbon,,dismissedAppOpening,False,,1751992866.453164
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1751992882.814439
instagram,Europe/Lisbon,,openedApp,False,,1752012334.6837559
instagram,Europe/Lisbon,,closedApp,False,,1752012454.6837559
instagram,Europe/Lisbon,,dismissedAppOpening,False,,1752012454.6837559
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1752012470.5975242
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1752088139.589889
instagram,Europe/Lisbon,,openedApp,False,,1752137741.9448838
instagram,Europe/Lisbon,,closedApp,False,,1752137861.9448838
instagram,Europe/Lisbon,,dismissedAppOpening,False,,1752137861.9448838
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1752137883.0358949
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1752139555.784055
instagram,Europe/Lisbon,,openedApp,False,,1752148625.3282862
instagram,Europe/Lisbon,,closedApp,False,,1752148745.3282871
instagram,Europe/Lisbon,,dismissedAppOpening,False,,1752148745.3282871
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1752177806.282843
instagram,Europe/Lisbon,,openedApp,False,,1752194586.380214
instagram,Europe/Lisbon,,closedApp,False,,1752194706.380214
instagram,Europe/Lisbon,,dismissedAppOpening,False,,1752194706.380214
instagram,Europe/Lisbon,,openedApp,False,,1752234610.833632
instagram,Europe/Lisbon,,closedApp,False,,1752234730.833632
instagram,Europe/Lisbon,,dismissedAppOpening,False,,1752234730.833632
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1752273441.673804
instagram,Europe/Lisbon,,openedApp,False,,1752280575.4213572
instagram,Europe/Lisbon,,closedApp,False,,1752280695.4213572
instagram,Europe/Lisbon,,dismissedAppOpening,False,,1752280695.421358
instagram,Europe/Lisbon,,openedApp,False,,1752280577.1945438
instagram,Europe/Lisbon,,closedApp,False,,1752280697.194545
instagram,Europe/Lisbon,,dismissedAppOpening,False,,1752280697.194545
instagram,Europe/Lisbon,breathingExercise,dismissedAppOpening,False,3.0,1752280702.050133
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1752280723.7600222
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1752326651.199373
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1752340790.565923
instagram,Europe/Lisbon,breathingExercise,openedApp,False,3.0,1752448549.195986
instagram,Europe/Lisbon,,openedApp,False,,1752492201.2553802
instagram,Europe/Lisbon,,closedApp,False,,1752492321.255381
instagram,Europe/Lisbon,,dismissedAppOpening,False,,1752492321.255381
