Item,ABC n,ABC M (SD),ACC n,ACC M (SD),BCC n,BCC M (SD),CCC n,CCC M (SD)
Solved consumption problems,48,4.48 (1.41),46,4.3 (1.33),49,4.37 (1.44),56,4.62 (1.3)
Achieved consumption goals,48,4.6 (1.54),46,4.41 (1.54),49,4.24 (1.65),56,4.71 (1.4)
Helpful for solving problems,48,5.65 (1.23),46,5.57 (0.96),49,5.55 (0.96),56,5.75 (0.94)
Helpful for achieving goals,48,5.54 (1.11),46,5.41 (1.07),49,5.39 (1.04),56,5.46 (1.22)
Satisfied with intervention,48,5.73 (1.12),46,5.52 (0.75),49,5.61 (1.2),56,5.5 (1.06)
Satisfied with progress,48,5.38 (1.33),46,5.04 (1.28),49,5.06 (1.2),56,5.43 (1.14)
