Item,Overall M (SD),n,ABC,ACC,BCC,CCC,Condition p
Solved consumption problems,4.45 (1.37),199,4.48 (1.41),4.30 (1.33),4.37 (1.44),4.62 (1.30),0.653
Achieved consumption goals,4.50 (1.53),199,4.60 (1.54),4.41 (1.54),4.24 (1.65),4.71 (1.40),0.421
Helpful for solving problems,5.63 (1.02),199,5.65 (1.23),5.57 (0.96),5.55 (0.96),5.75 (0.94),0.741
Helpful for achieving goals,5.45 (1.11),199,5.54 (1.11),5.41 (1.07),5.39 (1.04),5.46 (1.22),0.911
Satisfied with intervention,5.59 (1.05),199,5.73 (1.12),5.52 (0.75),5.61 (1.20),5.50 (1.06),0.692
Satisfied with progress,5.24 (1.24),199,5.38 (1.33),5.04 (1.28),5.06 (1.20),5.43 (1.14),0.258
