Condition,Odds ratio,95% CI,p
ABC vs. CCC,0.94,"[0.702, 1.258]",0.675
ACC vs. CCC,1.033,"[0.776, 1.375]",0.826
BCC vs. CCC,1.212,"[0.903, 1.627]",0.201
