timezone,app,isReIntervention,resolution,timestamp,purpose,timeIntervalUntilReIntervention,interventionType,interventionDuration
America/Los_Angeles,hboMax,False,closedApp,1738477445.61349,,,,
America/Los_Angeles,pinterest,False,closedApp,1738477456.789657,,,,
America/Los_Angeles,pinterest,False,openedApp,1738546118.317661,Search Info,240.0,donatusStudy,6.0
America/Los_Angeles,amazon,False,closedApp,1738529111.225987,,,,
America/Los_Angeles,amazon,False,closedApp,1738529275.1350598,,,,
America/Los_Angeles,amazon,False,closedApp,1738529503.3235312,,,,
America/Los_Angeles,amazon,False,closedApp,1738529551.4419231,,,,
America/Los_Angeles,amazon,False,closedApp,1738529888.091556,,,,
America/Los_Angeles,amazon,False,closedApp,1738529918.288861,,,,
America/Los_Angeles,amazon,False,closedApp,1738530294.1425672,,,,
America/Los_Angeles,amazon,False,closedApp,1738530319.128948,,,,
America/Los_Angeles,amazon,False,closedApp,1738530477.947441,,,,
America/Los_Angeles,amazon,False,closedApp,1738530889.75734,,,,
America/Los_Angeles,amazon,False,closedApp,1738531086.163844,,,,
America/Los_Angeles,amazon,False,closedApp,1738531091.8133578,,,,
America/Los_Angeles,amazon,False,closedApp,1738531128.5381532,,,,
America/Los_Angeles,amazon,False,closedApp,1738531167.966219,,,,
America/Los_Angeles,amazon,False,closedApp,1738531216.749551,,,,
America/Los_Angeles,amazon,False,closedApp,1738531457.627245,,,,
America/Los_Angeles,amazon,False,closedApp,1738531679.60075,,,,
America/Los_Angeles,amazon,False,closedApp,1738531909.0290132,,,,
America/Los_Angeles,amazon,False,closedApp,1738531926.817193,,,,
America/Los_Angeles,amazon,False,closedApp,1738531959.32264,,,,
America/Los_Angeles,amazon,False,closedApp,1738531977.517766,,,,
America/Los_Angeles,amazon,False,closedApp,1738532277.506587,,,,
America/Los_Angeles,amazon,False,closedApp,1738532499.2150822,,,,
America/Los_Angeles,amazon,False,closedApp,1738532579.1414618,,,,
America/Los_Angeles,amazon,False,closedApp,1738533899.229943,,,,
America/Los_Angeles,amazon,False,closedApp,1738534776.261302,,,,
America/Los_Angeles,amazon,False,closedApp,1738534787.611088,,,,
America/Los_Angeles,amazon,False,closedApp,1738535556.34828,,,,
America/Los_Angeles,amazon,False,closedApp,1738535575.701579,,,,
America/Los_Angeles,amazon,False,closedApp,1738536149.730754,,,,
America/Los_Angeles,amazon,False,closedApp,1738536990.4807549,,,,
America/Los_Angeles,amazon,False,closedApp,1738537100.074961,,,,
America/Los_Angeles,amazon,False,closedApp,1738537301.175623,,,,
America/Los_Angeles,amazon,False,closedApp,1738537358.4852881,,,,
America/Los_Angeles,amazon,False,closedApp,1738537426.4886498,,,,
America/Los_Angeles,amazon,False,closedApp,1738537626.4325771,,,,
America/Los_Angeles,amazon,False,closedApp,1738537650.394909,,,,
America/Los_Angeles,amazon,False,closedApp,1738537664.414861,,,,
America/Los_Angeles,amazon,False,closedApp,1738537710.4362512,,,,
America/Los_Angeles,amazon,False,closedApp,1738537773.213282,,,,
America/Los_Angeles,amazon,False,closedApp,1738537817.2377849,,,,
America/Los_Angeles,amazon,False,closedApp,1738537928.6279922,,,,
America/Los_Angeles,amazon,False,closedApp,1738538035.2777538,,,,
America/Los_Angeles,amazon,False,closedApp,1738538105.740351,,,,
America/Los_Angeles,amazon,False,closedApp,1738538253.213791,,,,
America/Los_Angeles,amazon,False,closedApp,1738538310.382605,,,,
America/Los_Angeles,amazon,False,closedApp,1738538692.708267,,,,
America/Los_Angeles,hboMax,False,closedApp,1738511089.630414,,,,
America/Los_Angeles,hboMax,False,closedApp,1738512977.80442,,,,
America/Los_Angeles,hboMax,False,closedApp,1738516864.136024,,,,
America/Los_Angeles,pinterest,False,closedApp,1738508798.930002,,,,
America/Los_Angeles,pinterest,False,closedApp,1738509121.331029,,,,
America/Los_Angeles,pinterest,False,closedApp,1738527755.634146,,,,
America/Los_Angeles,pinterest,False,closedApp,1738538749.219691,,,,
America/Los_Angeles,pinterest,False,closedApp,1738538787.584641,,,,
America/Los_Angeles,pinterest,False,closedApp,1738539279.497592,,,,
America/Los_Angeles,pinterest,False,closedApp,1738539509.244035,,,,
America/Los_Angeles,pinterest,False,closedApp,1738539527.660985,,,,
